slice,horizon,n,hit,mean_bps,t_ev,t_day,H1_mean,H2_mean,quarters
H1 bull big-prem stock,1,42383,0.4993,-2.94,-1.41,0.09,-2.0,-3.8,-6/+1/-6/-1
H1 bull big-prem stock,3,42383,0.4976,-9.93,-2.91,-0.81,-2.5,-17.1,-19/+11/-23/-8
H1 bull big-prem stock,5,42383,0.4974,-17.36,-4.11,-0.38,-9.8,-24.7,-32/+15/-34/-19
H2 bull big-prem stock n>=3,1,17133,0.499,-4.32,-1.38,-0.16,-4.8,-3.8,-21/+11/+1/-8
H2 bull big-prem stock n>=3,3,17133,0.4975,-15.42,-2.86,-0.59,-10.6,-20.2,-52/+30/-16/-24
H2 bull big-prem stock n>=3,5,17133,0.5004,-24.58,-3.73,-0.3,-23.6,-25.5,-81/+34/-24/-26
H3 bull big-prem stock n>=3 UPTREND,1,10972,0.4976,-1.7,-0.43,-0.02,2.1,-4.4,+1/+23/+4/-34
H3 bull big-prem stock n>=3 UPTREND,3,10972,0.497,-4.12,-0.6,-0.07,4.7,-10.3,+6/+46/+15/-84
H3 bull big-prem stock n>=3 UPTREND,5,10972,0.5036,-3.33,-0.39,0.34,10.9,-13.4,+32/+62/-14/-94
H4 bear big-prem stock UPTREND (expect NEG),3,27631,0.5061,10.87,2.54,0.84,4.0,16.1,+4/-26/+11/+54
H4 bear big-prem stock UPTREND (expect NEG),5,27631,0.4998,13.52,2.53,0.89,0.4,23.3,-11/-41/+39/+67
H5 ETF bull (expect NEG),3,8058,0.503,2.64,0.36,0.71,-12.2,17.5,-24/-0/-22/+57
H5 ETF bull (expect NEG),5,8058,0.4999,-5.59,-0.63,0.06,-19.7,8.5,-37/-1/-41/+57
bear big-prem stock (all),3,41560,0.5048,16.38,4.79,1.12,10.1,22.4,+27/-5/+26/+18
bear big-prem stock DOWNTREND,3,13929,0.5023,27.29,4.84,0.82,18.6,41.2,-11/+82/+100/-61
bull n>=3 DOWNTREND,3,6161,0.4983,-35.56,-4.05,-1.01,-28.0,-49.5,-35/-67/-93/+53
bull sweep-dominant (nsweep>=2),3,13026,0.4924,-16.11,-2.55,0.52,-17.4,-14.7,-75/+40/-14/-15
bull prem-sum >=1M day,3,12215,0.5027,-0.79,-0.14,-0.55,24.7,-18.7,+41/+25/-56/-13
bull prem-sum >=1M day UPTREND,3,8967,0.4993,-2.91,-0.43,-0.49,17.2,-16.3,+32/+22/-8/-58
ETF bear (expect POS if contrarian),3,8042,0.4649,-1.03,-0.14,-0.43,11.7,-13.7,+19/+3/+22/-48
bull golden,3,693,0.5065,-7.02,-0.23,0.47,73.0,-67.8,+151/-44/-44/-93
bull unusual,3,2905,0.4812,-65.88,-3.4,-1.31,-34.0,-93.4,-50/+8/-100/-121
