slice,n_alerts,n_1d,hit_1d,mean_bps_1d,t_ev_1d,t_day_1d,n_3d,hit_3d,mean_bps_3d,t_ev_3d,t_day_3d,n_5d,hit_5d,mean_bps_5d,t_ev_5d,t_day_5d,H1_mean_3d,H1_n_3d,H2_mean_3d,H2_n_3d,up_mean_3d,up_n_3d,down_mean_3d,down_n_3d,H1_mean_5d,H1_n_5d,H2_mean_5d,H2_n_5d,up_mean_5d,up_n_5d,down_mean_5d,down_n_5d
ALL stock directional,469289,65709,0.49790744038107415,-1.0346253888997916,-0.5874889643020367,-1.5647958661367691,63551,0.49829270979213547,-1.3874242959235472,-0.4536853324365169,-1.890029320578217,61298,0.4979281542627818,-2.5150838574520717,-0.6347925750519737,-2.0003077006936416,-2.717344928275695,33403,0.15840520580557832,30613,1.0940023976988067,34961,-4.421812495844189,28590,-0.9961892521279453,33403,-3.8348544782339795,28360,-0.3795882347381301,34879,-5.334416603757362,26419
bull (stock),239333,32947,0.48159164719094305,-2.6739700321018156,-1.0608904268424721,-0.272437702733102,31914,0.4770946919847089,-9.179921390892938,-2.1201791953795603,-0.6808574826553269,30801,0.47849095808577646,-6.589717452757967,-1.180240799409355,-1.3138826453783374,-8.089122135767111,16638,-10.408403379822879,15509,12.052986346101399,17744,-35.76825695089488,14170,-4.811677258745559,16638,-6.513484010501833,14396,24.230768528881672,17716,-48.31808807948536,13085
bear (stock),229956,32762,0.51431536536231,0.613976282535926,0.24959239694674515,-0.9517388064500777,31637,0.5196763283497171,6.473300560695384,1.4986825925441398,-0.5629904018617419,30497,0.517559104174181,1.6001664743516153,0.2845650728009138,-0.9255619818750334,2.613739424736068,16765,11.00855313711594,15104,-10.20042817559827,17217,26.381177651733363,14420,2.790395266458625,16765,-1.0733570028309372,13964,-25.782902365384782,17163,36.846574941157954,13334
bull prem <250k,209579,32005,0.48186220902983906,-2.5038692089533217,-0.9717196650521851,-1.2019523802069625,31022,0.4779188962671652,-9.051413019043522,-2.048357139514128,-1.1485050342961882,29944,0.4784263959390863,-6.294072949393152,-1.1039731090971565,-1.4836571209387128,-7.11924785707872,16204,-11.209839058359336,15038,12.887524807899599,17273,-36.61351012318116,13749,-3.734106036840755,16204,-7.1660839085324755,13960,26.186104358620597,17239,-50.36536587445014,12705
bear prem <250k,199732,31913,0.5142731802086924,0.6583634197578652,0.2620319169600669,-0.6860299445228785,30812,0.519440477735947,6.541843206707516,1.4860927360046552,-0.3654429127126268,29716,0.517869161394535,1.6351706281916576,0.2853227634553428,-0.5753017254416151,2.4079572671708425,16349,11.536726765044593,14684,-10.621580114931769,16759,27.010199532570514,14053,1.9791477900682832,16349,0.0886152268666669,13588,-27.094156586251984,16712,38.556465338110314,13004
bull prem 250k-1M,25508,7390,0.5009472259810555,18.182370391496693,3.3677569223108406,1.1594017551265203,7136,0.5022421524663677,32.91258779210126,3.4886434553356307,1.1855148214402014,6861,0.5143565077976971,59.12858509900981,4.884889254772836,2.1827259486119424,28.691416819428586,3496,36.29921651172249,3672,64.61003266604165,4053,-8.757780055475891,3083,46.41837332693248,3496,73.33345772769789,3397,103.36208451514962,4034,-3.9906001308126022,2827
bear prem 250k-1M,25990,7362,0.49524585710404784,-14.26062608667037,-2.7083046716773875,-1.2322669831555204,7124,0.5028074115665356,-19.971778197118308,-2.1670666222727286,-1.1787097118366292,6821,0.49420906025509453,-33.80408954205879,-2.8289023442118717,-1.6835980234141101,-24.32342306200258,3512,-15.493814327274903,3653,-42.01258786046072,4043,8.950972036212868,3081,-32.825732997947675,3512,-35.93251803522506,3350,-56.0393170229792,3981,-2.6356245415150665,2840
bull prem >1M,4246,1725,0.52,29.2706094329938,2.528913447668619,1.5045924629823064,1661,0.5159542444310656,58.479051685167676,2.849232719434146,2.030270422924335,1593,0.5417451349654739,121.22889783922466,4.752413200325427,3.0397272801768063,53.36414882806124,743,63.011409556263104,921,98.54796059508654,962,3.334144143905948,699,103.97060955399215,743,135.96330512828942,853,167.73622953350826,957,51.24852609169406,636
bear prem >1M,4234,1775,0.49971830985915494,-17.14251007409305,-1.4124398443113693,-0.7161111810288477,1709,0.4885898186073727,-40.17492909928495,-1.9060466665698432,-1.3750202064060595,1643,0.4619598295800365,-80.41530882878936,-3.0612237965627105,-2.1036727895926455,-39.03305519704815,754,-41.50042554496191,961,-98.67817326201177,1021,46.644565508482586,688,-68.75909206413151,754,-92.98483120512476,895,-156.87293251820333,1009,41.26567272108238,634
bull sweep,47071,12801,0.4857433013045856,-0.5817863923935436,-0.13221286669022037,-0.08340630374557172,12386,0.4845793637978363,2.865017834861202,0.38089285660038225,0.27021062613882696,11921,0.487626876939854,5.951819521392642,0.6222933749502816,0.48987762955900777,8.066896651033908,6078,-2.373267826162859,6368,38.95620224839283,6900,-42.5285608113962,5486,9.40082862574202,6078,2.8854771741154335,5903,60.45685035255878,6888,-68.64199179692098,5033
