factor,dir,thr,h1_mean,h2_mean,h2_lift,h2_n,h2_winrate
iv_prior,1,19.064,0.031114697449117656,0.10777438973773026,0.1168891125860487,14,0.9285714285714286
vix_close,1,18.36,0.06562036604440502,0.10722221891976912,0.11633694176808754,32,0.9375
ret_1d,-1,-0.0004,0.05039851439182647,0.061782657323917085,0.07089738017223551,45,0.8222222222222222
idx_put_share_am,1,0.6507,0.05695431350017058,0.04597230119368253,0.05508702404200096,56,0.8392857142857143
dte_f,-1,7.0,0.049305927568248115,0.03727677879668139,0.04639150164499982,49,0.7959183673469388
dp_prem_am,-1,9.6498,0.04026444807727318,0.029979646128529498,0.039094368976847926,20,0.8
ret_5d,-1,0.0081,0.04003564695908422,0.01888693543840709,0.028001658286725517,81,0.7777777777777778
intraday_to_10,1,0.0001,0.07374148254024242,0.018763476208316646,0.027878199056635074,67,0.8059701492537313
recent_last_pnl,1,0.1463,0.06368922370240261,0.0076232929783630705,0.0167380158266815,24,0.7916666666666666
vix_chg,1,-0.16,0.027519662724931487,0.006994461276128654,0.016109184124447083,70,0.7428571428571429
credit_width,1,0.2126,0.04277343486181881,0.00639286778957812,0.015507590637896548,53,0.7547169811320755
recent_dd,1,1.1576,0.09705658514931494,-0.0035611062794354037,0.005553616568883025,87,0.7471264367816092
idx_put_share_prior,1,0.5871,0.05273923418827811,-0.0053085658557384605,0.0038061569925799676,51,0.7647058823529411
rv5,-1,15.903,0.0432412696692456,-0.006179149628029082,0.002935573220289346,102,0.7352941176470589
recent_wr10,-1,0.7,0.1195124016243716,-0.00799710779869014,0.0011176150496282882,70,0.7714285714285715
recent_avgpnl10,-1,0.0109,0.0856747451125792,-0.009623289158353011,-0.0005085663100345833,64,0.765625
term_slope,1,0.306,0.03343310908591997,-0.009918657523503566,-0.0008039346751851379,119,0.7394957983193278
contango,1,1.0,0.02687770642719821,-0.009918657523503566,-0.0008039346751851379,119,0.7394957983193278
rv10,-1,12.7571,0.06253082785098356,-0.0107515271163561,-0.0016368042680376723,74,0.7162162162162162
idx_put_sweep_cnt_am,-1,117.0,0.05038929158460341,-0.012430454337873932,-0.0033157314895555044,121,0.7355371900826446
iv_minus_rv_prior,1,3.666,0.034846382983847284,-0.016068038284198213,-0.006953315435879785,116,0.7327586206896551
ivalert_minus_rv_prior,-1,6.91,0.05559515759238032,-0.019553986317520658,-0.01043926346920223,92,0.717391304347826
ret_10d,-1,0.0052,0.045219661020114814,-0.01979583711120848,-0.010681114262890052,63,0.746031746031746
above_sma50,1,1.0,0.04888716428104294,-0.021517888533540135,-0.012403165685221706,107,0.719626168224299
dist_hi20,1,-0.0244,0.03994231066820338,-0.0223508566481343,-0.01323613379981587,112,0.7232142857142857
dvix,-1,-0.06,0.04322983655487536,-0.025771753161014953,-0.016657030312696525,59,0.7288135593220338
regime_down,-1,0.0,0.026815112450808972,-0.027037673261704184,-0.017922950413385756,108,0.7129629629629629
idx_put_ask_prem_am,-1,7.3739,0.05080712556064547,-0.028121201047997327,-0.0190064781996789,77,0.7272727272727273
breadth_bear_am,-1,0.4609,0.06436967451071657,-0.04289759920977992,-0.03378287636146149,49,0.6938775510204082
idx_put_ask_prem_prior,-1,8.3707,0.05143103229685943,-0.043880459957312885,-0.03476573710899446,86,0.686046511627907
alert_cnt_am,-1,388.6,0.07059345798446914,-0.04523538525981179,-0.036120662411493365,20,0.6
regime_up,1,1.0,0.047502866393825456,-0.0483826328136052,-0.03926790996528677,92,0.6739130434782609
above_sma20,1,1.0,0.023407326331789435,-0.050251406516334814,-0.041136683668016386,91,0.6703296703296703
rsi14,1,52.2941,0.05392924001206951,-0.053090000250289794,-0.043975277401971366,90,0.6666666666666666
gap,1,0.0014,0.058905789946236034,-0.0678606715251398,-0.058745948676821376,55,0.6545454545454545
dist_sma20,1,0.0167,0.06176122023503941,-0.06918282271965231,-0.06006809987133389,13,0.6153846153846154
short_delta,-1,0.4,0.04447476289279474,-0.0743435699423122,-0.06522884709399376,61,0.6229508196721312
