ticker,open_date,strategy,pnl,win,F2_credit_width,E6_cushion_atr,E2_dte,D1_earnings,AB_trend_align,B2_rsi,A2_vix,F3_rr,I3_concurrency,F1_structure,factor_score
AMZN,2026-02-27,bull_put_spread,-39.46,0,0,-1,1,1,-1,1,1,0,1,0,3
ORCL,2026-02-27,bear_call_spread,-60.46,0,0,-1,1,1,1,1,1,0,1,0,5
QQQ,2026-02-27,bear_call_spread,157.54,1,0,-1,1,1,1,1,1,0,1,0,5
IWM,2026-03-02,bull_call_spread,-50.46,0,0,0,1,1,1,1,0,0,1,-1,4
IWM,2026-03-02,bear_call_spread,-50.46,0,0,-1,1,1,-1,1,0,0,1,0,2
NFLX,2026-03-02,bull_put_spread,29.54,1,0,0,0,1,1,0,0,0,1,0,3
PLTR,2026-03-02,bull_put_spread,37.54,1,0,0,0,1,1,1,0,0,1,0,4
SLV,2026-03-03,bull_put_spread,28.54,1,0,0,1,1,-1,1,0,0,0,0,2
ARKK,2026-03-04,bear_call_spread,40.54,1,0,-1,1,1,-1,1,0,0,1,0,2
IWM,2026-03-04,bear_call_spread,58.54,1,0,-1,1,1,1,1,0,0,1,0,4
TSLA,2026-03-04,bear_call_spread,76.54,1,0,-1,1,1,1,1,0,0,1,0,4
XOM,2026-03-04,bear_call_spread,-166.38,0,0,-1,1,1,1,1,0,0,1,0,4
IWM,2026-03-06,bear_call_spread,148.61,1,0,-1,1,1,1,1,0,0,0,0,3
GLD,2026-03-09,bull_put_spread,98.54,1,1,-1,1,1,1,1,0,1,0,0,5
GOOGL,2026-03-09,bear_call_spread,-90.93,0,1,-1,1,1,1,1,0,1,0,0,5
IWM,2026-03-09,bear_call_spread,101.07,1,1,-1,1,1,1,1,0,1,0,0,5
AVGO,2026-03-10,bear_call_spread,111.08,1,1,0,1,1,-1,1,0,1,1,0,5
NVDA,2026-03-10,bull_put_spread,31.08,1,0,-1,1,1,-1,1,0,0,1,0,2
AAPL,2026-03-11,bull_put_spread,-174.94,0,0,-1,1,1,-1,1,0,0,0,0,1
AAPL,2026-03-12,bear_call_spread,50.54,1,1,-1,1,1,1,1,0,1,0,0,5
SMH,2026-03-12,bear_call_spread,44.54,1,1,0,1,1,1,1,0,1,0,0,6
WFC,2026-03-12,bull_put_spread,38.54,1,0,-1,1,1,-1,1,0,0,0,0,1
ARKK,2026-03-13,bear_call_spread,-76.93,0,0,0,1,1,1,1,0,0,0,0,4
IWM,2026-03-16,bear_call_spread,109.08,1,1,-1,1,1,1,1,1,1,0,0,6
ORCL,2026-03-16,bull_put_spread,5.54,1,0,-1,1,1,1,1,1,0,0,0,4
META,2026-03-17,bull_put_spread,-279.46,0,1,-1,1,1,-1,1,1,1,0,0,4
NVDA,2026-03-17,bull_put_spread,-82.46,0,0,-1,1,1,-1,1,1,0,0,0,2
AAPL,2026-03-18,bear_call_spread,53.07,1,0,-1,1,1,1,-1,0,0,0,0,1
AVGO,2026-03-18,bear_call_spread,-22.39,0,1,-1,1,1,1,1,0,1,0,0,5
IWM,2026-03-19,bear_call_spread,181.62,1,0,-1,1,1,1,1,0,1,0,0,4
META,2026-03-19,bull_put_spread,1.54,1,1,-1,1,1,-1,1,0,1,0,0,3
NVDA,2026-03-19,bull_put_spread,-0.46,0,0,-1,1,1,-1,1,0,0,0,0,1
CRM,2026-03-20,bull_put_spread,-252.92,0,1,-1,1,1,1,1,0,1,1,0,6
AAPL,2026-03-23,bull_put_spread,-81.46,0,1,-1,1,1,-1,1,0,1,1,0,4
C,2026-03-23,bear_call_spread,81.77,1,1,-1,1,1,-1,1,0,1,1,0,4
IWM,2026-03-23,bear_call_spread,299.62,1,1,-1,1,1,1,1,0,1,1,0,6
XOM,2026-03-23,bull_put_spread,66.77,1,1,-1,1,1,1,0,0,1,1,0,5
META,2026-03-27,bull_put_spread,148.77,1,1,-1,1,1,-1,1,0,1,1,0,4
AAPL,2026-03-30,bull_put_spread,35.54,1,0,-1,1,1,-1,1,0,0,1,0,2
GLD,2026-03-30,bull_put_spread,52.54,1,1,-1,1,1,-1,1,0,1,1,0,4
IWM,2026-03-30,bear_call_spread,-200.96,0,1,0,1,1,1,1,0,1,1,0,7
NVDA,2026-03-30,bull_put_spread,79.62,1,0,-1,1,1,-1,1,0,0,1,0,2
NVDA,2026-03-31,bull_put_spread,85.62,1,0,-1,1,1,-1,1,1,0,0,0,2
QQQ,2026-03-31,bear_call_spread,-219.48,0,1,-1,1,1,1,1,1,1,0,0,6
GLD,2026-04-01,bull_put_spread,-277.48,0,0,-1,1,1,-1,1,1,0,0,0,2
COIN,2026-04-02,bear_call_spread,-66.48,0,1,-1,1,1,1,1,1,1,0,0,6
GLD,2026-04-02,bear_call_spread,15.52,1,1,-1,1,1,1,1,1,1,0,0,6
IWM,2026-04-02,bear_call_spread,4.52,1,1,-1,1,1,-1,1,1,1,0,0,4
ORCL,2026-04-02,bear_call_spread,35.52,1,1,-1,1,1,1,1,1,1,0,0,6
SMH,2026-04-02,bull_put_spread,10.51,1,0,-1,1,1,1,1,1,0,0,0,4
COIN,2026-04-06,bear_call_spread,-169.5,0,0,-1,0,1,1,1,1,0,0,0,3
