date,idx_put_share_am,idx_put_ask_prem_am,idx_put_sweep_cnt_am,breadth_bear_am,dp_prem_am,dp_idx_sell_share_am,idx_put_share_prior,idx_put_ask_prem_prior,dvix,alert_cnt_am
2025-03-03,0.6789,7.5598,225,0.5915,9.4763,,,,,1741
2025-03-04,0.7717,8.0603,397,0.4375,9.7482,,0.7014,8.6491,,2292
2025-03-05,0.5553,7.7842,213,0.5069,9.7049,,0.634,8.7986,,1628
2025-03-06,0.6376,7.7923,294,0.5932,9.5977,,0.6763,8.6463,-1.85,1636
2025-03-07,0.6323,7.6004,174,0.597,9.5687,,0.6629,8.7153,2.52,1401
2025-03-10,0.6469,7.855,274,0.7015,9.6593,,0.6448,8.6986,-1.98,1667
2025-03-11,0.693,7.7839,259,0.5692,9.7484,,0.6603,8.8167,-1.98,1807
2025-03-12,0.7102,7.4341,136,0.4343,9.3509,,0.6944,9.1087,2.16,2096
2025-03-13,0.7375,7.3739,155,0.5235,9.7492,,0.6729,8.5863,-1.97,1466
2025-03-14,0.7968,8.1334,141,0.4494,9.6596,,0.8272,8.9241,3.3,1851
2025-03-17,0.3425,7.3446,122,0.4407,9.4792,,0.6734,8.61,-2.36,1148
2025-03-18,0.6108,7.6625,248,0.506,9.6272,,0.6225,8.4478,-1.86,1868
2025-03-19,0.5023,7.041,69,0.4234,9.7376,,0.5831,8.4808,0.52,1157
2025-03-20,0.6507,7.2926,119,0.5076,9.6024,,0.502,8.685,-0.81,1273
2025-03-21,0.5155,8.032,197,0.497,10.1192,,0.773,8.5779,0.2,1475
2025-03-24,0.5233,7.9171,150,0.4286,9.7616,,0.5336,8.6117,-0.49,1661
2025-03-25,0.4142,7.4948,85,0.5235,9.7965,,0.3781,8.7143,-0.68,1509
2025-03-26,0.4724,7.3056,159,0.5031,9.7455,,0.5632,8.3761,0.12,1559
2025-03-27,0.5838,7.4363,218,0.5138,9.5425,,0.6335,8.3683,0.35,1612
2025-03-28,0.5833,7.3193,148,0.597,9.7454,,0.646,8.4983,-1.39,1170
2025-03-31,0.8275,8.0144,402,0.52,9.6447,,0.6821,8.5983,2.79,2074
2025-04-01,0.7471,7.741,176,0.4265,9.6854,,0.5004,8.6767,0.46,1113
2025-04-02,0.6901,7.3587,162,0.4173,9.6888,,0.6366,8.5292,-0.41,1358
2025-04-03,0.8511,8.2642,673,0.5517,9.8849,,0.6124,8.4076,0.65,2987
2025-04-04,0.9071,8.578,737,0.6211,9.9134,,0.7127,9.0436,2.2,3763
2025-04-07,0.9045,8.721,473,0.5104,9.8574,,0.7393,9.3313,5.26,3629
2025-04-08,0.6777,8.0732,284,0.5455,9.7449,,0.7629,9.2836,5.26,2334
2025-04-09,0.69,8.1777,373,0.3846,9.6498,,0.7732,9.2974,10.69,2378
2025-04-10,0.697,7.9119,114,0.5094,9.7802,,0.6548,9.27,-14.59,679
2025-04-11,,,0,0.2,9.6361,,0.7404,9.0132,5.44,87
2025-04-14,0.5875,7.7755,60,0.3966,9.6543,,0.5814,8.5631,3.92,547
2025-04-15,0.663,8.0552,41,0.5854,9.4725,,0.5452,8.3799,-10.9,275
2025-04-16,0.7647,7.5028,156,0.6512,9.4687,,0.7285,8.5994,2.06,613
2025-04-17,0.6055,7.3885,38,0.46,9.6846,,0.7286,8.975,2.18,279
2025-04-21,0.6807,7.3497,55,0.4222,9.4182,,0.6113,8.6847,-0.65,360
2025-04-22,0.655,7.3462,47,0.4773,9.7534,,0.7789,8.5906,1.75,453
2025-04-23,0.3837,7.8338,65,0.3803,9.8285,,0.676,8.6268,-2.15,770
2025-04-24,0.6489,7.7839,40,0.2571,9.6549,,0.4981,8.4758,-1.1,220
2025-04-25,0.4545,7.407,37,0.5714,9.4109,,0.7013,8.4487,-1.1,309
2025-04-28,0.3321,6.9123,29,0.4898,9.5787,,0.6199,8.7304,-1.8,432
2025-04-29,0.7194,7.6754,42,0.4,9.5796,,0.5916,8.1761,-0.01,269
2025-04-30,0.6478,7.6104,109,0.4035,9.8545,,0.54,8.2231,-0.4,467
2025-05-01,0.5571,7.5672,59,0.434,9.6942,,0.6256,8.3306,1.06,531
2025-05-02,0.7211,7.4351,51,0.5085,9.6235,,0.4862,8.3085,-1.21,391
2025-05-05,0.5608,7.456,46,0.5,9.4351,,0.5269,8.3694,-0.39,257
2025-05-06,0.747,7.4764,55,0.549,9.6877,,0.6131,8.2712,-0.2,340
2025-05-07,0.6264,7.3075,35,0.3529,9.738,,0.4289,8.3559,0.77,226
2025-05-08,0.5399,6.9816,29,0.5806,9.8339,,0.8328,8.6625,0.62,372
2025-05-09,0.7262,7.3739,28,0.4,9.7494,,0.4474,8.0958,-1.64,395
2025-05-12,0.6973,8.1221,52,0.5208,9.8436,,0.3304,8.1231,-0.21,930
2025-05-13,0.6031,7.5054,45,0.5,9.7061,,0.6701,8.9004,-3.4,569
2025-05-14,0.6721,7.0447,44,0.4154,9.6091,,0.2512,8.3422,1.13,597
2025-05-15,0.7678,7.0394,37,0.3939,9.6859,,0.4714,8.2697,0.07,504
2025-05-16,0.7521,7.456,26,0.4545,9.6314,,0.1797,8.4026,0.5,389
2025-05-19,,,0,,0.0,,0.4914,8.4212,-0.07,0
2025-05-20,0.4536,6.4039,16,0.551,9.6778,,0.4983,7.9462,0.05,383
2025-05-21,0.8053,7.0998,53,0.3878,9.5011,,0.4872,7.818,0.13,286
2025-05-22,0.8641,7.3226,44,0.3571,9.6668,,0.7085,8.3071,0.4,380
2025-05-23,0.8457,7.63,96,0.4219,9.516,,0.7031,8.168,-0.15,445
2025-05-27,0.4476,7.1725,28,0.4627,9.6239,,0.6451,8.158,1.69,414
2025-05-28,0.187,6.309,15,0.5,9.5394,,0.4967,7.9583,-1.14,280
2025-05-29,0.4666,6.9372,22,0.5625,9.918,,0.3947,7.8023,-1.1,492
2025-05-30,0.9762,7.1227,26,0.5962,9.5111,,0.5112,7.8439,0.69,243
2025-06-02,0.5928,6.9527,24,0.4423,9.7918,,0.5448,8.4399,-0.19,323
2025-06-03,0.76,7.6425,27,0.4,9.5954,,0.4752,7.862,0.85,357
2025-06-04,0.6732,7.448,29,0.4286,9.5981,,0.5083,8.1538,-0.86,426
2025-06-05,0.2969,6.9015,29,0.6429,9.5286,,0.5864,7.9261,-0.86,387
2025-06-06,0.2225,7.0105,39,0.5814,9.6563,,0.5383,7.9826,0.98,477
2025-06-09,0.4114,6.4477,6,0.4308,9.6915,,0.572,8.3694,-2.92,418
2025-06-10,0.5299,6.2376,15,0.4762,9.7057,,0.5097,7.8205,-0.26,269
2025-06-11,0.8671,8.1689,27,0.4821,9.6632,,0.6081,7.8455,-0.24,412
2025-06-12,0.7031,6.7558,23,0.451,9.5049,,0.4801,8.3668,2.69,234
2025-06-13,0.6107,7.3605,54,0.375,9.725,,0.5142,8.1173,0.66,377
2025-06-16,0.4471,7.0924,32,0.3333,9.5784,,0.3859,8.2283,-0.3,382
2025-06-17,0.4919,6.7763,23,0.4615,9.4628,,0.3369,7.9828,-1.91,352
2025-06-18,0.8001,7.2546,41,0.4054,9.5818,,0.6777,8.1418,2.28,282
2025-06-20,0.868,6.7475,29,0.4154,10.1969,,0.662,8.2754,-0.72,420
2025-06-23,0.465,7.2579,39,0.5893,9.8031,,0.321,8.1835,0.4,401
2025-06-24,0.653,7.0051,16,0.4483,9.7997,,0.4277,8.0936,0.32,521
2025-06-25,0.3502,6.4402,15,0.5439,9.5699,,0.3459,8.0892,-0.28,563
2025-06-26,0.3479,6.8509,18,0.5352,9.6596,,0.2248,7.9188,-1.05,413
