date,regime,leadership
2024-12-11,UP,CYCLICAL_LED
2024-12-12,UP,CYCLICAL_LED
2024-12-13,UP,CYCLICAL_LED
2024-12-16,UP,CYCLICAL_LED
2024-12-17,UP,CYCLICAL_LED
2024-12-18,UP,CYCLICAL_LED
2024-12-19,DOWN,CYCLICAL_LED
2024-12-20,DOWN,CYCLICAL_LED
2024-12-23,CHOP,CYCLICAL_LED
2024-12-24,CHOP,CYCLICAL_LED
2024-12-26,UP,CYCLICAL_LED
2024-12-27,UP,CYCLICAL_LED
2024-12-30,CHOP,CYCLICAL_LED
2024-12-31,DOWN,CYCLICAL_LED
2025-01-02,DOWN,CYCLICAL_LED
2025-01-03,DOWN,CYCLICAL_LED
2025-01-06,CHOP,CYCLICAL_LED
2025-01-07,CHOP,CYCLICAL_LED
2025-01-08,DOWN,DEFENSIVE_LED
2025-01-10,DOWN,CYCLICAL_LED
2025-01-13,DOWN,DEFENSIVE_LED
2025-01-14,DOWN,DEFENSIVE_LED
2025-01-15,DOWN,DEFENSIVE_LED
2025-01-16,CHOP,CYCLICAL_LED
2025-01-17,CHOP,DEFENSIVE_LED
2025-01-21,UP,DEFENSIVE_LED
2025-01-22,UP,CYCLICAL_LED
2025-01-23,UP,CYCLICAL_LED
2025-01-24,UP,CYCLICAL_LED
2025-01-27,UP,CYCLICAL_LED
2025-01-28,UP,DEFENSIVE_LED
2025-01-29,UP,DEFENSIVE_LED
2025-01-30,UP,DEFENSIVE_LED
2025-01-31,UP,DEFENSIVE_LED
2025-02-03,UP,CYCLICAL_LED
2025-02-04,UP,DEFENSIVE_LED
2025-02-05,UP,DEFENSIVE_LED
2025-02-06,UP,DEFENSIVE_LED
2025-02-07,UP,CYCLICAL_LED
2025-02-10,UP,DEFENSIVE_LED
2025-02-11,UP,CYCLICAL_LED
2025-02-12,UP,DEFENSIVE_LED
2025-02-13,UP,DEFENSIVE_LED
2025-02-14,UP,DEFENSIVE_LED
2025-02-18,UP,DEFENSIVE_LED
2025-02-19,UP,DEFENSIVE_LED
2025-02-20,UP,DEFENSIVE_LED
2025-02-21,UP,DEFENSIVE_LED
2025-02-24,CHOP,DEFENSIVE_LED
2025-02-25,DOWN,DEFENSIVE_LED
2025-02-26,DOWN,DEFENSIVE_LED
2025-02-27,DOWN,DEFENSIVE_LED
2025-02-28,DOWN,DEFENSIVE_LED
2025-03-03,DOWN,DEFENSIVE_LED
2025-03-04,DOWN,DEFENSIVE_LED
2025-03-05,DOWN,DEFENSIVE_LED
2025-03-06,DOWN,DEFENSIVE_LED
2025-03-07,DOWN,DEFENSIVE_LED
2025-03-10,DOWN,DEFENSIVE_LED
2025-03-11,DOWN,DEFENSIVE_LED
2025-03-12,DOWN,DEFENSIVE_LED
2025-03-13,DOWN,DEFENSIVE_LED
2025-03-14,DOWN,DEFENSIVE_LED
2025-03-17,DOWN,DEFENSIVE_LED
2025-03-18,DOWN,DEFENSIVE_LED
2025-03-19,DOWN,DEFENSIVE_LED
2025-03-20,DOWN,DEFENSIVE_LED
2025-03-21,DOWN,DEFENSIVE_LED
2025-03-24,DOWN,DEFENSIVE_LED
2025-03-25,CHOP,DEFENSIVE_LED
2025-03-26,CHOP,CYCLICAL_LED
2025-03-27,DOWN,DEFENSIVE_LED
2025-03-28,DOWN,DEFENSIVE_LED
2025-03-31,DOWN,DEFENSIVE_LED
2025-04-01,DOWN,DEFENSIVE_LED
2025-04-02,DOWN,DEFENSIVE_LED
2025-04-03,CHOP,DEFENSIVE_LED
2025-04-04,DOWN,DEFENSIVE_LED
2025-04-07,DOWN,DEFENSIVE_LED
2025-04-08,DOWN,DEFENSIVE_LED
2025-04-09,DOWN,DEFENSIVE_LED
2025-04-10,DOWN,DEFENSIVE_LED
2025-04-11,DOWN,DEFENSIVE_LED
2025-04-14,DOWN,DEFENSIVE_LED
2025-04-15,DOWN,DEFENSIVE_LED
2025-04-16,DOWN,DEFENSIVE_LED
2025-04-17,DOWN,DEFENSIVE_LED
2025-04-21,DOWN,DEFENSIVE_LED
2025-04-22,DOWN,DEFENSIVE_LED
2025-04-23,DOWN,DEFENSIVE_LED
2025-04-24,DOWN,DEFENSIVE_LED
2025-04-25,CHOP,DEFENSIVE_LED
2025-04-28,CHOP,DEFENSIVE_LED
2025-04-29,CHOP,CYCLICAL_LED
2025-04-30,CHOP,CYCLICAL_LED
2025-05-01,CHOP,CYCLICAL_LED
2025-05-02,UP,CYCLICAL_LED
2025-05-05,UP,CYCLICAL_LED
2025-05-06,UP,CYCLICAL_LED
2025-05-07,UP,CYCLICAL_LED
2025-05-08,UP,CYCLICAL_LED
2025-05-09,UP,CYCLICAL_LED
2025-05-12,UP,CYCLICAL_LED
2025-05-13,UP,CYCLICAL_LED
2025-05-14,UP,CYCLICAL_LED
2025-05-15,UP,CYCLICAL_LED
2025-05-16,UP,CYCLICAL_LED
2025-05-19,UP,CYCLICAL_LED
2025-05-20,UP,CYCLICAL_LED
2025-05-21,UP,CYCLICAL_LED
2025-05-22,UP,CYCLICAL_LED
2025-05-23,UP,CYCLICAL_LED
2025-05-27,UP,CYCLICAL_LED
2025-05-28,UP,CYCLICAL_LED
2025-05-29,UP,CYCLICAL_LED
2025-05-30,UP,CYCLICAL_LED
2025-06-02,UP,CYCLICAL_LED
2025-06-03,UP,CYCLICAL_LED
2025-06-04,UP,CYCLICAL_LED
2025-06-05,UP,CYCLICAL_LED
2025-06-06,UP,CYCLICAL_LED
2025-06-09,UP,CYCLICAL_LED
2025-06-10,UP,CYCLICAL_LED
2025-06-11,UP,CYCLICAL_LED
2025-06-12,UP,DEFENSIVE_LED
2025-06-13,UP,DEFENSIVE_LED
2025-06-16,UP,DEFENSIVE_LED
2025-06-17,UP,CYCLICAL_LED
2025-06-18,UP,CYCLICAL_LED
2025-06-20,UP,CYCLICAL_LED
2025-06-23,UP,CYCLICAL_LED
2025-06-24,UP,CYCLICAL_LED
2025-06-25,UP,CYCLICAL_LED
2025-06-26,UP,CYCLICAL_LED
2025-06-27,UP,CYCLICAL_LED
2025-06-30,UP,CYCLICAL_LED
2025-07-01,UP,CYCLICAL_LED
2025-07-02,UP,CYCLICAL_LED
2025-07-03,UP,CYCLICAL_LED
2025-07-07,UP,CYCLICAL_LED
2025-07-08,UP,CYCLICAL_LED
2025-07-09,UP,CYCLICAL_LED
2025-07-10,UP,CYCLICAL_LED
2025-07-11,UP,CYCLICAL_LED
2025-07-14,UP,CYCLICAL_LED
2025-07-15,UP,CYCLICAL_LED
2025-07-16,UP,CYCLICAL_LED
2025-07-17,UP,CYCLICAL_LED
2025-07-18,UP,CYCLICAL_LED
2025-07-21,UP,CYCLICAL_LED
2025-07-22,UP,CYCLICAL_LED
2025-07-23,UP,CYCLICAL_LED
2025-07-24,UP,CYCLICAL_LED
2025-07-25,UP,CYCLICAL_LED
2025-07-28,UP,CYCLICAL_LED
2025-07-29,UP,CYCLICAL_LED
2025-07-30,UP,CYCLICAL_LED
2025-07-31,UP,CYCLICAL_LED
2025-08-01,UP,CYCLICAL_LED
2025-08-04,CHOP,DEFENSIVE_LED
2025-08-05,UP,DEFENSIVE_LED
2025-08-06,CHOP,DEFENSIVE_LED
2025-08-07,UP,CYCLICAL_LED
2025-08-08,UP,DEFENSIVE_LED
2025-08-11,UP,CYCLICAL_LED
2025-08-12,UP,DEFENSIVE_LED
2025-08-13,UP,CYCLICAL_LED
2025-08-14,UP,CYCLICAL_LED
2025-08-15,UP,DEFENSIVE_LED
2025-08-18,UP,DEFENSIVE_LED
2025-08-19,UP,DEFENSIVE_LED
2025-08-20,UP,DEFENSIVE_LED
2025-08-21,UP,DEFENSIVE_LED
2025-08-22,CHOP,DEFENSIVE_LED
2025-08-25,UP,DEFENSIVE_LED
2025-08-26,UP,DEFENSIVE_LED
2025-08-27,UP,CYCLICAL_LED
2025-08-28,UP,CYCLICAL_LED
2025-08-29,UP,CYCLICAL_LED
2025-09-02,UP,CYCLICAL_LED
2025-09-03,CHOP,CYCLICAL_LED
2025-09-04,UP,CYCLICAL_LED
2025-09-05,UP,CYCLICAL_LED
2025-09-08,UP,CYCLICAL_LED
2025-09-09,UP,CYCLICAL_LED
2025-09-10,UP,CYCLICAL_LED
2025-09-11,UP,CYCLICAL_LED
2025-09-12,UP,CYCLICAL_LED
2025-09-15,UP,CYCLICAL_LED
2025-09-16,UP,CYCLICAL_LED
2025-09-17,UP,CYCLICAL_LED
2025-09-18,UP,CYCLICAL_LED
2025-09-19,UP,CYCLICAL_LED
2025-09-22,UP,CYCLICAL_LED
2025-09-23,UP,CYCLICAL_LED
2025-09-24,UP,CYCLICAL_LED
2025-09-25,UP,CYCLICAL_LED
2025-09-26,UP,CYCLICAL_LED
2025-09-29,UP,CYCLICAL_LED
2025-09-30,UP,CYCLICAL_LED
2025-10-01,UP,CYCLICAL_LED
2025-10-02,UP,CYCLICAL_LED
2025-10-03,UP,CYCLICAL_LED
2025-10-06,UP,CYCLICAL_LED
2025-10-07,UP,CYCLICAL_LED
2025-10-08,UP,DEFENSIVE_LED
2025-10-09,UP,DEFENSIVE_LED
2025-10-10,UP,DEFENSIVE_LED
2025-10-13,CHOP,DEFENSIVE_LED
2025-10-14,CHOP,DEFENSIVE_LED
2025-10-15,CHOP,DEFENSIVE_LED
2025-10-16,UP,DEFENSIVE_LED
2025-10-17,CHOP,DEFENSIVE_LED
2025-10-20,CHOP,DEFENSIVE_LED
2025-10-21,UP,DEFENSIVE_LED
2025-10-22,UP,DEFENSIVE_LED
2025-10-23,UP,DEFENSIVE_LED
2025-10-24,UP,DEFENSIVE_LED
2025-10-27,UP,DEFENSIVE_LED
2025-10-28,UP,DEFENSIVE_LED
2025-10-29,UP,DEFENSIVE_LED
2025-10-30,UP,CYCLICAL_LED
2025-10-31,UP,DEFENSIVE_LED
2025-11-03,UP,CYCLICAL_LED
2025-11-04,UP,CYCLICAL_LED
2025-11-05,UP,CYCLICAL_LED
2025-11-06,UP,CYCLICAL_LED
2025-11-07,CHOP,CYCLICAL_LED
2025-11-10,CHOP,CYCLICAL_LED
2025-11-11,UP,CYCLICAL_LED
2025-11-12,UP,CYCLICAL_LED
2025-11-13,UP,CYCLICAL_LED
2025-11-14,CHOP,CYCLICAL_LED
2025-11-17,CHOP,CYCLICAL_LED
2025-11-18,DOWN,DEFENSIVE_LED
2025-11-19,DOWN,DEFENSIVE_LED
2025-11-20,DOWN,DEFENSIVE_LED
2025-11-21,DOWN,DEFENSIVE_LED
2025-11-24,DOWN,DEFENSIVE_LED
2025-11-25,DOWN,DEFENSIVE_LED
2025-11-26,UP,DEFENSIVE_LED
2025-11-28,UP,DEFENSIVE_LED
2025-12-01,UP,DEFENSIVE_LED
2025-12-02,UP,DEFENSIVE_LED
2025-12-03,UP,DEFENSIVE_LED
2025-12-04,UP,DEFENSIVE_LED
2025-12-05,UP,DEFENSIVE_LED
2025-12-08,UP,DEFENSIVE_LED
2025-12-09,UP,CYCLICAL_LED
2025-12-10,UP,DEFENSIVE_LED
2025-12-11,UP,CYCLICAL_LED
2025-12-12,UP,CYCLICAL_LED
2025-12-15,UP,CYCLICAL_LED
2025-12-16,UP,CYCLICAL_LED
2025-12-17,UP,CYCLICAL_LED
2025-12-18,DOWN,CYCLICAL_LED
2025-12-19,CHOP,CYCLICAL_LED
2025-12-22,UP,CYCLICAL_LED
2025-12-23,UP,CYCLICAL_LED
2025-12-24,UP,CYCLICAL_LED
2025-12-26,UP,CYCLICAL_LED
2025-12-29,UP,CYCLICAL_LED
2025-12-30,UP,CYCLICAL_LED
2025-12-31,UP,CYCLICAL_LED
2026-01-02,CHOP,CYCLICAL_LED
2026-01-05,UP,CYCLICAL_LED
2026-01-06,UP,CYCLICAL_LED
2026-01-07,UP,CYCLICAL_LED
2026-01-08,UP,CYCLICAL_LED
2026-01-09,UP,CYCLICAL_LED
2026-01-12,UP,CYCLICAL_LED
2026-01-13,UP,CYCLICAL_LED
2026-01-14,UP,CYCLICAL_LED
2026-01-15,UP,DEFENSIVE_LED
2026-01-16,UP,DEFENSIVE_LED
2026-01-20,UP,CYCLICAL_LED
2026-01-21,DOWN,DEFENSIVE_LED
2026-01-22,CHOP,DEFENSIVE_LED
2026-01-23,UP,DEFENSIVE_LED
2026-01-26,UP,DEFENSIVE_LED
2026-01-27,UP,DEFENSIVE_LED
2026-01-28,UP,DEFENSIVE_LED
2026-01-29,UP,DEFENSIVE_LED
2026-01-30,UP,DEFENSIVE_LED
2026-02-02,UP,DEFENSIVE_LED
2026-02-03,UP,DEFENSIVE_LED
2026-02-04,CHOP,DEFENSIVE_LED
2026-02-05,CHOP,DEFENSIVE_LED
2026-02-06,DOWN,DEFENSIVE_LED
2026-02-09,UP,DEFENSIVE_LED
2026-02-10,UP,DEFENSIVE_LED
2026-02-11,UP,DEFENSIVE_LED
2026-02-12,UP,DEFENSIVE_LED
2026-02-13,DOWN,DEFENSIVE_LED
2026-02-17,DOWN,DEFENSIVE_LED
2026-02-18,DOWN,DEFENSIVE_LED
2026-02-19,DOWN,DEFENSIVE_LED
