Entry Date,Signal Time,Symbol,Direction,Strategy,Short Strike,Long Strike,Spread Width,Raw Credit,Slippage,Net Credit,Credit Ratio,Quantity,Expiration,DTE,Spot at Entry,Conviction,Weighted Premium,Exit Date,Exit Reason,Spread P&L,Roll Cost,Lifecycle P&L,Status,MAE,MAE Date,TP Time,Polygon Bars,Short OCC,Long OCC,Roll Count,IC Converted,IC Trigger Type,IC Trigger Date,Opp Credit,Total Credit
2025-03-03,14:35,GOOGL,bullish,Bull Put Spread,167.5,165.0,2.5,1.10,0.10,1.00,40.00%,10,2025-03-07,4,172.96,100.00%,619472,2025-03-04,TP 50% @ 13:05 ET (spread=0.49),410.00,0.00,410.00,closed,35.00%,2025-03-04,13:05,357,GOOGL250307P00167500,GOOGL250307P00165000,0,False,,,0.00,1.00
2025-03-03,15:40,ABBV,bearish,Bear Call Spread,215,220,5,0.75,0.10,0.65,13.00%,10,2025-03-07,4,210.97,96.09%,2374492,2025-03-04,TP 50% @ 13:20 ET (spread=0.22),330.00,0.00,330.00,closed,186.15%,2025-03-04,13:20,60,ABBV250307C00215000,ABBV250307C00220000,0,False,,,0.00,0.65
2025-03-03,14:45,AMZN,bullish,Bull Put Spread,205,200,5,1.74,0.10,1.64,32.80%,10,2025-03-07,4,211.19,91.49%,6087706,2025-03-05,TP 50% @ 14:05 ET (spread=0.76),780.00,0.00,780.00,closed,106.71%,2025-03-04,14:05,383,AMZN250307P00205000,AMZN250307P00200000,0,False,,,0.00,1.64
2025-03-03,16:10,LLY,bullish,Bull Put Spread,890,880,10,3.35,0.10,3.25,32.50%,5,2025-03-14,11,925.50,100.00%,1260827,2025-03-05,TP 50% @ 09:30 ET (spread=0.20),1475.00,290.00,1765.00,closed,0.00%,,09:30,282,LLY250314P00890000,LLY250314P00880000,1,False,,,0.00,1.21
2025-03-04,14:40,AAPL,bullish,Bull Put Spread,230,225,5,0.75,0.10,0.65,13.00%,10,2025-03-07,3,238.35,90.47%,2154553,2025-03-06,TP 50% @ 10:35 ET (spread=0.28),270.00,0.00,270.00,closed,181.54%,2025-03-05,10:35,289,AAPL250307P00230000,AAPL250307P00225000,0,False,,,0.00,0.65
2025-03-05,14:35,META,bearish,Bear Call Spread,660,670,10,4.66,0.10,4.56,45.60%,10,2025-03-14,9,644.94,91.05%,1974634,2025-03-06,TP 50% @ 12:15 ET (spread=2.28),2180.00,0.00,2180.00,closed,0.00%,,12:15,478,META250314C00660000,META250314C00670000,0,False,,,0.00,4.56
2025-03-04,14:35,AVGO,bearish,Bear Call Spread,192.5,195.0,2.5,1.02,0.10,0.92,36.80%,10,2025-03-07,3,186.39,100.00%,590061,2025-03-07,TP 50% @ 10:05 ET (spread=0.42),400.00,0.00,400.00,closed,70.65%,2025-03-05,10:05,304,AVGO250307C00192500,AVGO250307C00195000,0,False,,,0.00,0.92
2025-03-05,14:35,IWM,bearish,Bear Call Spread,210,215,5,2.03,0.10,1.93,38.60%,10,2025-03-14,9,206.09,100.00%,8918188,2025-03-07,TP 50% @ 10:35 ET (spread=0.89),940.00,0.00,940.00,closed,0.00%,,10:35,316,IWM250314C00210000,IWM250314C00215000,0,False,,,0.00,1.93
2025-03-03,14:55,ORCL,bullish,Bull Put Spread,157.5,155.0,2.5,1.20,0.10,1.10,44.00%,10,2025-03-14,11,164.70,100.00%,711791,END_OF_REPLAY,Still open (replay ended),-1430.00,-400.00,-1830.00,force_closed,54.55%,2025-03-07,,193,ORCL250314P00157500,ORCL250314P00155000,1,False,,,0.00,0.69
2025-03-06,14:30,SPY,bullish,Bull Put Spread,560,550,10,1.81,0.10,1.71,17.10%,7,2025-03-14,8,579.71,97.01%,2105556,END_OF_REPLAY,Still open (replay ended),1127.00,0.00,1127.00,force_closed,66.08%,2025-03-07,,565,SPY250314P00560000,SPY250314P00550000,0,False,,,0.00,1.71
2025-03-06,14:35,SMH,bullish,Bull Put Spread,215,210,5,1.68,0.10,1.58,31.60%,10,2025-03-14,8,220.99,100.00%,681275,END_OF_REPLAY,Still open (replay ended),1470.00,0.00,1470.00,force_closed,17.09%,2025-03-07,,184,SMH250314P00215000,SMH250314P00210000,0,False,,,0.00,1.58
2025-03-07,14:55,COST,bearish,Bear Call Spread,1000,1010,10,1.38,0.10,1.28,12.80%,7,2025-03-14,7,975.32,90.37%,2688530,END_OF_REPLAY,Still open (replay ended),812.00,0.00,812.00,force_closed,0.00%,,,112,COST250314C01000000,COST250314C01010000,0,False,,,0.00,1.28
2025-03-07,15:50,CRM,bullish,Bull Put Spread,275,270,5,1.39,0.10,1.29,25.80%,10,2025-03-14,7,281.17,100.00%,508764,END_OF_REPLAY,Still open (replay ended),1170.00,0.00,1170.00,force_closed,0.00%,,,119,CRM250314P00275000,CRM250314P00270000,0,False,,,0.00,1.29
