strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p1_spy_45dte_putspread,SPY,bull_put,2025-03-31,10:00,2025-05-16,46,SP530 / LP515,put_short=-0.281,549.74,0.2203,2.69,,1,0.05,549,2025-04-04,14:45,9.24,stop,-656.3
p1_spy_45dte_putspread,SPY,bull_put,2025-04-07,10:00,2025-05-16,39,SP470 / LP455,put_short=-0.299,495.69,0.3826,3.03,,1,0.05,315,2025-04-07,10:30,1.38,tp,163.7
p1_spy_45dte_putspread,SPY,bull_put,2025-04-14,10:00,2025-05-30,46,SP510 / LP495,put_short=-0.293,540.47,0.3741,2.16,,1,0.05,399,2025-05-01,09:30,1.11,tp,103.7
p1_spy_45dte_putspread,SPY,bull_put,2025-04-28,10:00,2025-06-20,53,SP530 / LP515,put_short=-0.305,550.29,0.2504,3.29,,1,0.05,572,2025-05-08,12:10,1.72,tp,155.7
p1_spy_45dte_putspread,SPY,bull_put,2025-06-16,10:00,2025-08-01,46,SP585 / LP570,put_short=-0.281,603.05,0.1855,2.34,,1,0.05,73,2025-06-27,12:35,1.26,tp,106.7
p1_spy_45dte_putspread,SPY,bull_put,2025-08-04,10:00,2025-09-19,46,SP615 / LP600,put_short=-0.312,629.01,0.1728,2.46,,1,0.05,843,2025-08-14,09:35,1.28,tp,116.7
p1_spy_45dte_putspread,SPY,bull_put,2025-09-15,10:00,2025-10-31,46,SP645 / LP630,put_short=-0.290,660.65,0.1588,2.24,,1,0.05,557,2025-10-07,09:30,1.2,tp,102.7
p1_spy_45dte_putspread,SPY,bull_put,2025-09-29,10:05,2025-11-21,53,SP645 / LP630,put_short=-0.282,664.52,0.1754,2.12,,1,0.05,777,2025-10-27,09:30,0.8,tp,130.7
p1_spy_45dte_putspread,SPY,bull_put,2025-10-13,10:00,2025-11-21,39,SP645 / LP630,put_short=-0.290,662.88,0.1881,2.41,,1,0.05,513,2025-10-27,09:30,0.8,tp,159.7
p1_spy_45dte_putspread,SPY,bull_put,2025-10-27,10:00,2025-12-19,53,SP670 / LP655,put_short=-0.313,683.08,0.1476,2.66,,1,0.05,808,2025-11-28,09:30,2.61,time_exit_21dte,3.7
p1_spy_45dte_putspread,SPY,bull_put,2025-11-03,10:00,2025-12-19,46,SP665 / LP650,put_short=-0.280,682.53,0.1614,2.7,,1,0.05,652,2025-11-28,09:30,1.65,time_exit_21dte,103.7
p1_spy_45dte_putspread,SPY,bull_put,2025-11-10,10:00,2025-12-19,39,SP660 / LP645,put_short=-0.282,678.54,0.1814,2.33,,1,0.05,555,2025-11-28,09:35,1.83,time_exit_21dte,48.7
p1_spy_45dte_putspread,SPY,bull_put,2025-12-01,10:00,2026-01-16,46,SP665 / LP650,put_short=-0.292,681.45,0.1637,2.69,,1,0.05,634,2025-12-23,09:30,1.35,tp,132.7
p1_spy_45dte_putspread,SPY,bull_put,2025-12-08,10:00,2026-01-16,39,SP670 / LP655,put_short=-0.290,685.44,0.1601,2.36,,1,0.05,478,2025-12-24,10:25,1.28,tp,106.7
p1_spy_45dte_putspread,SPY,bull_put,2026-02-02,10:00,2026-03-20,46,SP680 / LP665,put_short=-0.320,692.7,0.1551,2.69,,1,0.05,685,2026-02-27,09:30,3.74,time_exit_21dte,-106.3
p1_spy_45dte_putspread,SPY,bull_put,2026-02-09,10:00,2026-03-20,39,SP675 / LP660,put_short=-0.297,690.4,0.1659,2.66,,1,0.05,597,2026-02-27,09:30,3.18,time_exit_21dte,-53.3
