strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p2_spy_45dte_ic,SPY,iron_condor,2025-03-31,10:00,2025-05-16,46,SP520 / LP505 / SC590 / LC605,put_short=-0.205 call_short=0.214,549.74,0.2203,3.03,,1,0.1,202,2025-04-25,11:05,2.63,time_exit_21dte,37.4
p2_spy_45dte_ic,SPY,iron_condor,2025-04-28,10:15,2025-06-20,53,SP515 / LP500 / SC605 / LC615,put_short=-0.209 call_short=0.190,550.29,0.2504,2.39,,1,0.1,369,2025-05-30,09:30,2.22,time_exit_21dte,14.4
p2_spy_45dte_ic,SPY,iron_condor,2025-08-04,10:00,2025-09-19,46,SP600 / LP585 / SC665 / LC680,put_short=-0.186 call_short=0.217,629.01,0.1728,2.25,,1,0.1,228,2025-08-26,10:20,1.52,tp,70.4
p2_spy_45dte_ic,SPY,iron_condor,2025-09-29,10:05,2025-11-21,53,SP635 / LP620 / SC710 / LC725,put_short=-0.209 call_short=0.195,664.52,0.1754,1.95,,1,0.1,87,2025-10-31,09:30,1.68,time_exit_21dte,24.4
p2_spy_45dte_ic,SPY,iron_condor,2025-10-13,10:40,2025-11-21,39,SP635 / LP620 / SC705 / LC720,put_short=-0.210 call_short=0.186,662.88,0.1881,2.34,,1,0.1,118,2025-10-31,09:30,2.31,time_exit_21dte,0.4
p2_spy_45dte_ic,SPY,iron_condor,2025-10-27,10:00,2025-12-19,53,SP655 / LP640 / SC720 / LC735,put_short=-0.187 call_short=0.214,683.08,0.1476,2.77,,1,0.1,184,2025-11-28,11:05,1.85,time_exit_21dte,89.4
p2_spy_45dte_ic,SPY,iron_condor,2025-11-03,10:00,2025-12-19,46,SP655 / LP640 / SC720 / LC735,put_short=-0.199 call_short=0.210,682.53,0.1614,3.32,,1,0.1,137,2025-11-28,11:05,1.85,time_exit_21dte,144.4
p2_spy_45dte_ic,SPY,iron_condor,2025-11-10,10:15,2025-12-19,39,SP650 / LP635 / SC720 / LC735,put_short=-0.202 call_short=0.187,678.54,0.1814,2.15,,1,0.1,92,2025-11-28,11:05,1.58,time_exit_21dte,54.4
p2_spy_45dte_ic,SPY,iron_condor,2025-12-01,10:10,2026-01-16,46,SP655 / LP640 / SC720 / LC735,put_short=-0.210 call_short=0.206,681.45,0.1637,2.74,,1,0.1,138,2025-12-19,11:30,1.73,tp,98.4
p2_spy_45dte_ic,SPY,iron_condor,2025-12-08,10:20,2026-01-16,39,SP660 / LP645 / SC720 / LC735,put_short=-0.200 call_short=0.206,685.44,0.1601,2.37,,1,0.1,124,2025-12-22,11:35,1.55,tp,79.4
p2_spy_45dte_ic,SPY,iron_condor,2026-02-09,10:10,2026-03-20,39,SP665 / LP650 / SC725 / LC740,put_short=-0.210 call_short=0.216,690.4,0.1659,2.75,,1,0.1,134,2026-02-27,09:50,2.91,time_exit_21dte,-18.6
p2_spy_45dte_ic,SPY,iron_condor,2026-02-02,10:00,2026-03-20,46,SP665 / LP650 / SC730 / LC745,put_short=-0.192 call_short=0.206,692.7,0.1551,2.71,,1,0.1,122,2026-02-27,10:50,2.6,time_exit_21dte,8.4
