strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p3_multi_underlying_45dte,IWM,bull_put,2025-04-07,10:00,2025-05-16,39,SP165 / LP160,put_short=-0.272,177.03,0.4283,1.12,,2,0.05,242,2025-04-07,11:10,0.13,tp,195.4
p3_multi_underlying_45dte,IWM,bull_put,2025-03-31,10:00,2025-05-16,46,SP190 / LP185,put_short=-0.298,197.22,0.2492,1.09,,2,0.05,354,2025-04-08,13:10,3.8,stop,-544.6
p3_multi_underlying_45dte,IWM,bull_put,2025-04-14,10:40,2025-05-30,46,SP175 / LP170,put_short=-0.310,185.79,0.4438,0.92,,2,0.05,39,2025-04-23,09:40,0.56,tp,69.4
p3_multi_underlying_45dte,IWM,bull_put,2025-04-28,10:00,2025-06-20,53,SP185 / LP180,put_short=-0.290,194.83,0.3101,0.96,,2,0.05,354,2025-05-12,09:30,0.35,tp,119.4
p3_multi_underlying_45dte,IWM,bull_put,2025-06-16,10:25,2025-08-01,46,SP205 / LP200,put_short=-0.334,210.65,0.2401,1.03,,2,0.05,42,2025-07-01,12:05,0.61,tp,81.4
p3_multi_underlying_45dte,IWM,bull_put,2025-07-14,11:00,2025-08-29,46,SP215 / LP210,put_short=-0.309,221.74,0.225,1.05,,2,0.05,135,2025-08-08,09:35,1.21,time_exit_21dte,-34.6
p3_multi_underlying_45dte,IWM,bull_put,2025-08-04,10:00,2025-09-19,46,SP210 / LP205,put_short=-0.329,216.74,0.2656,1.1,,2,0.05,364,2025-08-12,12:20,0.64,tp,89.4
p3_multi_underlying_45dte,IWM,bull_put,2025-08-11,10:05,2025-09-19,39,SP215 / LP210,put_short=-0.314,221.23,0.2289,1.15,,2,0.05,298,2025-08-13,12:30,0.67,tp,93.4
p3_multi_underlying_45dte,QQQ,bull_put,2025-08-25,10:05,2025-10-17,53,SP555 / LP540,put_short=-0.303,570.94,0.191,2.61,,1,0.05,555,2025-09-15,09:30,1.25,tp,134.7
p3_multi_underlying_45dte,SPY,bull_put,2025-09-15,10:00,2025-10-31,46,SP645 / LP630,put_short=-0.290,660.65,0.1588,2.24,,1,0.05,557,2025-10-07,09:30,1.2,tp,102.7
p3_multi_underlying_45dte,SPY,bull_put,2025-09-29,10:05,2025-11-21,53,SP645 / LP630,put_short=-0.282,664.52,0.1754,2.12,,1,0.05,777,2025-10-27,09:30,0.8,tp,130.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-10-13,10:00,2025-11-21,39,SP585 / LP570,put_short=-0.315,601.16,0.2203,2.86,,1,0.05,415,2025-10-27,09:30,1.1,tp,174.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-10-06,10:00,2025-11-21,46,SP590 / LP575,put_short=-0.283,607.03,0.1775,2.83,,1,0.05,627,2025-10-28,09:30,1.04,tp,177.7
p3_multi_underlying_45dte,IWM,bull_put,2025-11-10,10:00,2025-12-19,39,SP235 / LP230,put_short=-0.302,243.74,0.2653,1.11,,2,0.05,454,2025-11-26,15:25,0.64,tp,91.4
p3_multi_underlying_45dte,QQQ,bull_put,2025-10-27,10:00,2025-12-19,53,SP605 / LP590,put_short=-0.289,625.3,0.2006,2.69,,1,0.05,678,2025-11-28,09:30,3.34,time_exit_21dte,-66.3
p3_multi_underlying_45dte,IWM,bull_put,2025-11-03,10:00,2025-12-19,46,SP235 / LP230,put_short=-0.281,244.95,0.2477,1.1,,2,0.05,553,2025-11-28,09:30,0.93,time_exit_21dte,31.4
p3_multi_underlying_45dte,SPY,bull_put,2025-12-08,10:00,2026-01-16,39,SP670 / LP655,put_short=-0.290,685.44,0.1601,2.36,,1,0.05,478,2025-12-24,10:25,1.28,tp,106.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-12-15,10:00,2026-01-30,46,SP595 / LP580,put_short=-0.286,613.94,0.1965,3.02,,1,0.05,204,2026-01-06,14:00,1.6,tp,140.7
p3_multi_underlying_45dte,IWM,bull_put,2026-01-26,10:00,2026-03-20,53,SP255 / LP250,put_short=-0.268,265.83,0.2185,1.03,,2,0.05,649,2026-02-27,09:30,1.32,time_exit_21dte,-60.6
p3_multi_underlying_45dte,QQQ,bull_put,2026-02-02,10:00,2026-03-20,46,SP605 / LP590,put_short=-0.300,623.72,0.2093,3.1,,1,0.05,631,2026-02-27,09:30,4.67,time_exit_21dte,-158.3
p3_multi_underlying_45dte,IWM,bull_put,2026-02-09,10:00,2026-03-20,39,SP255 / LP250,put_short=-0.300,263.95,0.2488,1.07,,2,0.05,460,2026-02-27,09:30,1.32,time_exit_21dte,-52.6
