strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p3_multi_underlying_45dte,IWM,bull_put,2025-03-31,10:00,2025-05-16,46,SP190 / LP185,put_short=-0.298,197.22,0.2492,0.99,,2,0.1,354,2025-04-04,10:30,3.38,stop,-480.6
p3_multi_underlying_45dte,IWM,bull_put,2025-04-07,10:00,2025-05-16,39,SP165 / LP160,put_short=-0.272,177.03,0.4283,1.02,,2,0.1,242,2025-04-07,11:10,0.23,tp,155.4
p3_multi_underlying_45dte,IWM,bull_put,2025-04-14,10:40,2025-05-30,46,SP175 / LP170,put_short=-0.310,185.79,0.4438,0.82,,2,0.1,39,2025-04-29,11:50,0.55,tp,51.4
p3_multi_underlying_45dte,IWM,bull_put,2025-04-28,10:00,2025-06-20,53,SP185 / LP180,put_short=-0.290,194.83,0.3101,0.86,,2,0.1,354,2025-05-12,09:30,0.45,tp,79.4
p3_multi_underlying_45dte,IWM,bull_put,2025-06-16,10:25,2025-08-01,46,SP205 / LP200,put_short=-0.334,210.65,0.2401,0.93,,2,0.1,42,2025-07-03,09:30,0.5,tp,83.4
p3_multi_underlying_45dte,IWM,bull_put,2025-07-14,11:00,2025-08-29,46,SP215 / LP210,put_short=-0.309,221.74,0.225,0.95,,2,0.1,135,2025-08-08,09:35,1.31,time_exit_21dte,-74.6
p3_multi_underlying_45dte,IWM,bull_put,2025-08-11,10:05,2025-09-19,39,SP215 / LP210,put_short=-0.314,221.23,0.2289,1.05,,2,0.1,298,2025-08-13,15:25,0.72,tp,63.4
p3_multi_underlying_45dte,IWM,bull_put,2025-08-04,10:00,2025-09-19,46,SP210 / LP205,put_short=-0.329,216.74,0.2656,1.0,,2,0.1,364,2025-08-14,09:30,0.59,tp,79.4
p3_multi_underlying_45dte,QQQ,bull_put,2025-08-25,10:05,2025-10-17,53,SP555 / LP540,put_short=-0.303,570.94,0.191,2.51,,1,0.1,555,2025-09-15,09:30,1.35,tp,114.7
p3_multi_underlying_45dte,SPY,bull_put,2025-09-15,10:00,2025-10-31,46,SP645 / LP630,put_short=-0.290,660.65,0.1588,2.14,,1,0.1,557,2025-10-07,09:35,1.26,tp,86.7
p3_multi_underlying_45dte,SPY,bull_put,2025-09-29,10:05,2025-11-21,53,SP645 / LP630,put_short=-0.282,664.52,0.1754,2.02,,1,0.1,777,2025-10-27,09:30,0.9,tp,110.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-10-13,10:00,2025-11-21,39,SP585 / LP570,put_short=-0.315,601.16,0.2203,2.76,,1,0.1,415,2025-10-27,09:30,1.2,tp,154.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-10-06,10:00,2025-11-21,46,SP590 / LP575,put_short=-0.283,607.03,0.1775,2.73,,1,0.1,627,2025-10-28,09:30,1.14,tp,157.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-10-27,10:00,2025-12-19,53,SP605 / LP590,put_short=-0.289,625.3,0.2006,2.59,,1,0.1,678,2025-11-18,11:05,8.11,stop,-553.3
p3_multi_underlying_45dte,IWM,bull_put,2025-11-03,10:00,2025-12-19,46,SP235 / LP230,put_short=-0.281,244.95,0.2477,1.0,,2,0.1,553,2025-11-28,09:30,1.03,time_exit_21dte,-8.6
p3_multi_underlying_45dte,IWM,bull_put,2025-11-10,10:00,2025-12-19,39,SP235 / LP230,put_short=-0.302,243.74,0.2653,1.01,,2,0.1,454,2025-11-28,09:30,1.03,time_exit_21dte,-6.6
p3_multi_underlying_45dte,SPY,bull_put,2025-12-08,10:00,2026-01-16,39,SP670 / LP655,put_short=-0.290,685.44,0.1601,2.26,,1,0.1,478,2025-12-24,11:05,1.31,tp,93.7
p3_multi_underlying_45dte,QQQ,bull_put,2025-12-15,10:00,2026-01-30,46,SP595 / LP580,put_short=-0.286,613.94,0.1965,2.92,,1,0.1,204,2026-01-06,15:40,1.64,tp,126.7
p3_multi_underlying_45dte,IWM,bull_put,2026-01-26,10:00,2026-03-20,53,SP255 / LP250,put_short=-0.268,265.83,0.2185,0.93,,2,0.1,649,2026-02-27,09:30,1.42,time_exit_21dte,-100.6
p3_multi_underlying_45dte,QQQ,bull_put,2026-02-02,10:00,2026-03-20,46,SP605 / LP590,put_short=-0.300,623.72,0.2093,3.0,,1,0.1,631,2026-02-27,09:30,4.77,time_exit_21dte,-178.3
p3_multi_underlying_45dte,IWM,bull_put,2026-02-09,10:00,2026-03-20,39,SP255 / LP250,put_short=-0.300,263.95,0.2488,0.97,,2,0.1,460,2026-02-27,09:30,1.42,time_exit_21dte,-92.6
