symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
IWM,bearish,2025-04-04,12:45,2025-04-11,7,185.0,187.5,2.5,C,0.2922,1.32,1.42,0.05,4,178.6601,100.0,0.4259,DOWN,DEFENSIVE_LED,2025-04-07,08:40,0.57,tp,294.8
GOOGL,bearish,2025-04-04,14:35,2025-04-11,7,155.0,157.5,2.5,C,0.2458,0.67,0.77,0.05,2,148.58,100.0,0.4175,DOWN,DEFENSIVE_LED,2025-04-07,08:30,0.4,tp,51.4
QQQ,bearish,2025-04-14,13:35,2025-04-25,11,475,480,5,C,0.2733,1.33,1.43,0.05,1,459.13,60.0,0.2989,DOWN,DEFENSIVE_LED,2025-04-16,08:30,0.56,tp,75.7
TSLA,bullish,2025-04-14,12:35,2025-04-25,11,230,225,5,P,-0.2805,1.3,1.4,0.05,1,247.535,63.3,0.8491,DOWN,DEFENSIVE_LED,2025-04-21,09:05,2.72,stop,-143.3
GOOGL,bearish,2025-04-16,09:50,2025-04-25,9,160.0,162.5,2.5,C,0.2819,0.74,0.84,0.05,2,154.66,75.0,0.346,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.44,tp,57.4
META,bearish,2025-04-21,10:30,2025-05-02,11,510,515,5,C,0.2939,1.3,1.45,0.075,1,484.245,73.5,0.4968,DOWN,DEFENSIVE_LED,2025-04-22,08:30,0.17,tp,111.7
MSFT,bearish,2025-04-21,09:50,2025-05-02,11,375,380,5,C,0.2544,1.375,1.475,0.05,1,360.4547,79.4,0.3197,DOWN,DEFENSIVE_LED,2025-04-23,08:35,2.85,stop,-148.8
GOOGL,bearish,2025-04-21,11:05,2025-05-02,11,152.5,155.0,2.5,C,0.2503,0.74,0.84,0.05,2,146.23,47.1,0.3331,DOWN,DEFENSIVE_LED,2025-04-23,08:35,1.65,stop,-184.6
META,bullish,2025-04-22,10:30,2025-05-02,10,465,460,5,P,-0.2749,1.46,1.61,0.075,1,488.75,88.6,0.5588,DOWN,DEFENSIVE_LED,2025-04-23,08:35,0.72,tp,72.7
META,bullish,2025-04-24,11:50,2025-05-02,8,510,500,10,P,-0.2876,3.25,3.4,0.075,1,530.035,75.7,0.5109,DOWN,DEFENSIVE_LED,2025-04-29,13:05,1.74,tp,149.7
AMZN,bullish,2025-04-24,11:45,2025-05-02,8,180.0,177.5,2.5,P,-0.2825,0.85,0.95,0.05,3,185.0995,43.2,0.3557,DOWN,DEFENSIVE_LED,2025-04-30,08:30,1.15,time_exit_2dte,-93.9
QQQ,bearish,2025-04-24,13:15,2025-05-02,8,480,485,5,C,0.2531,1.28,1.38,0.05,1,465.9955,43.2,0.282,DOWN,DEFENSIVE_LED,2025-04-30,08:30,0.8,time_exit_2dte,46.7
META,bullish,2025-04-29,14:15,2025-05-09,10,530,520,10,P,-0.2945,3.0,3.15,0.075,1,554.4592,90.0,0.5676,CHOP,CYCLICAL_LED,2025-05-01,08:30,0.84,tp,214.7
AAPL,bearish,2025-05-07,13:35,2025-05-16,9,200.0,202.5,2.5,C,0.297,0.68,0.78,0.05,2,193.895,56.5,0.34,UP,CYCLICAL_LED,2025-05-12,08:30,2.23,stop,-312.6
GOOGL,bullish,2025-07-15,09:30,2025-07-25,10,177.5,175.0,2.5,P,-0.2764,0.77,0.87,0.05,2,183.115,81.7,0.3463,UP,CYCLICAL_LED,2025-07-21,11:50,0.48,tp,55.4
TSLA,bearish,2025-07-21,14:15,2025-08-01,11,350,355,5,C,0.2931,1.35,1.45,0.05,1,329.31,20.0,0.5773,UP,CYCLICAL_LED,2025-07-24,08:30,0.26,tp,107.7
GOOGL,bullish,2025-07-22,09:35,2025-08-01,10,182.5,180.0,2.5,P,-0.2723,0.68,0.78,0.05,2,189.0442,98.3,0.3837,UP,CYCLICAL_LED,2025-07-24,08:30,0.23,tp,87.4
AMZN,bearish,2025-07-22,11:30,2025-08-01,10,235,240,5,C,0.2524,1.29,1.39,0.05,1,226.425,26.7,0.3134,UP,CYCLICAL_LED,2025-07-30,08:30,1.87,time_exit_2dte,-59.3
META,bullish,2025-07-25,11:10,2025-08-01,7,690,680,10,P,-0.2834,2.7,2.85,0.075,1,717.4134,96.7,0.537,UP,CYCLICAL_LED,2025-07-30,08:30,4.44,time_exit_2dte,-175.3
SPY,bullish,2025-08-06,12:10,2025-08-15,9,640,630,10,P,-0.1926,4.84,4.94,0.05,1,652.9064999999999,36.7,0.1568,CHOP,DEFENSIVE_LED,2025-08-12,08:35,2.42,tp,240.7
NVDA,bearish,2025-08-18,09:55,2025-08-29,11,190.0,192.5,2.5,C,0.2678,0.65,0.75,0.05,2,181.185,20.0,0.406,UP,DEFENSIVE_LED,2025-08-20,08:35,0.42,tp,43.4
NVDA,bearish,2025-08-20,10:40,2025-08-29,9,180.0,182.5,2.5,C,0.2935,0.655,0.755,0.05,2,172.4854,95.0,0.4568,UP,DEFENSIVE_LED,2025-08-25,10:30,1.455,stop,-162.6
SPY,bullish,2025-08-22,10:10,2025-08-29,7,650,640,10,P,-0.2916,3.805,3.905,0.05,1,656.92813,38.3,0.1539,CHOP,DEFENSIVE_LED,2025-08-27,08:30,4.58,time_exit_2dte,-78.8
QQQ,bullish,2025-08-26,10:40,2025-09-05,10,590,580,10,P,-0.2074,8.315,8.415,0.05,2,605.0247825,78.3,0.1995,UP,DEFENSIVE_LED,2025-09-03,08:30,9.835,time_exit_2dte,-306.6
SPY,bullish,2025-09-08,10:20,2025-09-19,11,650,640,10,P,-0.1796,3.005,3.105,0.05,1,667.29176,90.0,0.1764,UP,CYCLICAL_LED,2025-09-11,09:35,1.585,tp,140.7
TSLA,bullish,2025-09-22,10:45,2025-10-03,11,420,415,5,P,-0.2968,1.38,1.48,0.05,1,441.0095,95.0,0.6001,UP,CYCLICAL_LED,2025-10-01,08:30,0.88,time_exit_2dte,48.7
QQQ,bullish,2025-10-02,10:45,2025-10-10,8,620,610,10,P,-0.2221,7.765,7.865,0.05,2,631.9022649999999,38.3,0.1797,UP,CYCLICAL_LED,2025-10-08,08:30,9.035,time_exit_2dte,-256.6
SPY,bullish,2025-10-09,10:50,2025-10-17,8,690,680,10,P,-0.2748,9.635,9.735,0.05,13,698.8752000000001,75.0,0.1585,UP,DEFENSIVE_LED,2025-10-15,08:30,10.41,time_exit_2dte,-1024.4
TSLA,bullish,2025-10-13,12:40,2025-10-24,11,405,400,5,P,-0.2626,1.42,1.52,0.05,1,429.72,83.3,0.5983,CHOP,DEFENSIVE_LED,2025-10-20,08:45,0.77,tp,63.7
TSLA,bullish,2025-10-20,10:50,2025-10-31,11,420,415,5,P,-0.2729,1.27,1.37,0.05,1,443.814,68.3,0.5888,CHOP,DEFENSIVE_LED,2025-10-22,11:20,2.65,stop,-139.3
GOOGL,bullish,2025-10-20,10:00,2025-10-31,11,245,240,5,P,-0.2492,1.26,1.36,0.05,1,255.9865,100.0,0.4058,CHOP,DEFENSIVE_LED,2025-10-27,08:45,0.7,tp,54.7
AMZN,bearish,2025-10-20,10:10,2025-10-31,11,225,230,5,C,0.2573,1.28,1.38,0.05,1,215.3052,90.0,0.36,CHOP,DEFENSIVE_LED,2025-10-27,08:55,2.66,stop,-139.3
MSFT,bullish,2025-10-23,09:30,2025-10-31,8,510,500,10,P,-0.2831,2.875,2.975,0.05,1,521.878,98.3,0.2939,UP,DEFENSIVE_LED,2025-10-28,08:30,0.84,tp,202.2
META,bullish,2025-10-27,09:30,2025-11-07,11,720,710,10,P,-0.244,2.675,2.825,0.075,1,753.145,91.7,0.4057,UP,DEFENSIVE_LED,2025-10-30,08:30,9.3,stop,-663.8
