symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
META,bearish,2025-03-31,11:25,2025-04-11,11,590,600,10,C,0.3454,2.55,2.7,0.075,1,569.7354,90.0,0.4435,DOWN,DEFENSIVE_LED,2025-04-03,08:30,1.3,tp,123.7
AMZN,bearish,2025-03-31,13:40,2025-04-11,11,195.0,197.5,2.5,C,0.3456,0.67,0.77,0.05,2,189.7151,65.0,0.3518,DOWN,DEFENSIVE_LED,2025-04-03,08:30,0.43,tp,45.4
QQQ,bearish,2025-04-02,11:45,2025-04-11,9,485,490,5,C,0.3422,1.58,1.68,0.05,1,476.0548,31.8,0.2611,DOWN,DEFENSIVE_LED,2025-04-03,08:30,0.5,tp,106.7
IWM,bearish,2025-04-04,12:45,2025-04-11,7,185.0,187.5,2.5,C,0.3291,1.32,1.42,0.05,4,179.7457,100.0,0.4276,DOWN,DEFENSIVE_LED,2025-04-07,08:40,0.57,tp,294.8
GOOGL,bearish,2025-04-04,13:15,2025-04-11,7,152.5,155.0,2.5,C,0.3177,0.74,0.84,0.05,2,148.015,100.0,0.4161,DOWN,DEFENSIVE_LED,2025-04-09,08:30,0.53,time_exit_2dte,39.4
MSFT,bearish,2025-04-14,10:10,2025-04-25,11,400,405,5,C,0.3331,1.46,1.56,0.05,1,390.67,56.7,0.2811,DOWN,DEFENSIVE_LED,2025-04-16,08:30,0.585,tp,86.2
AMZN,bearish,2025-04-14,11:45,2025-04-25,11,187.5,190.0,2.5,C,0.3131,0.76,0.86,0.05,2,180.6893,76.7,0.3938,DOWN,DEFENSIVE_LED,2025-04-16,08:50,0.45,tp,59.4
MSFT,bearish,2025-04-16,11:00,2025-04-25,9,385,390,5,C,0.3108,1.515,1.615,0.05,1,376.685,25.0,0.2569,DOWN,DEFENSIVE_LED,2025-04-17,09:05,0.8,tp,70.2
IWM,bearish,2025-04-14,10:25,2025-04-25,11,192.5,195.0,2.5,C,0.3121,0.64,0.74,0.05,2,185.6647,80.0,0.3832,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.31,tp,63.4
GOOGL,bearish,2025-04-16,09:50,2025-04-25,9,160.0,162.5,2.5,C,0.2819,0.74,0.84,0.05,2,154.66,75.0,0.346,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.44,tp,57.4
AMZN,bearish,2025-04-17,10:40,2025-04-25,8,177.5,180.0,2.5,C,0.3474,0.77,0.87,0.05,2,173.525,39.4,0.3499,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.43,tp,65.4
META,bearish,2025-04-21,10:35,2025-05-02,11,505,510,5,C,0.3344,1.68,1.83,0.075,1,484.245,73.5,0.4968,DOWN,DEFENSIVE_LED,2025-04-23,08:45,4.55,stop,-288.3
GOOGL,bearish,2025-04-21,11:05,2025-05-02,11,150.0,152.5,2.5,C,0.3491,0.93,1.03,0.05,3,146.23,47.1,0.3331,DOWN,DEFENSIVE_LED,2025-04-25,08:30,2.79,stop,-561.9
MSFT,bearish,2025-04-21,09:50,2025-05-02,11,370,375,5,C,0.3377,1.775,1.875,0.05,1,360.4547,79.4,0.3197,DOWN,DEFENSIVE_LED,2025-04-30,08:30,3.85,time_exit_2dte,-208.8
IWM,bearish,2025-04-24,11:45,2025-05-02,8,197.5,200.0,2.5,C,0.3228,0.69,0.79,0.05,2,192.77,70.3,0.3246,DOWN,DEFENSIVE_LED,2025-04-30,08:30,0.4,time_exit_2dte,55.4
AMZN,bullish,2025-04-28,11:00,2025-05-09,11,182.5,180.0,2.5,P,-0.3498,0.83,0.93,0.05,2,186.52,56.4,0.3777,CHOP,DEFENSIVE_LED,2025-05-02,09:05,0.51,tp,61.4
SPY,bullish,2025-05-01,10:45,2025-05-09,8,560,550,10,P,-0.3276,2.8,2.9,0.05,1,568.25275,28.6,0.2462,CHOP,CYCLICAL_LED,2025-05-07,08:30,3.16,time_exit_2dte,-37.3
META,bullish,2025-05-02,12:25,2025-05-09,7,590,580,10,P,-0.3491,2.66,2.81,0.075,1,600.31,2.3,0.3621,UP,CYCLICAL_LED,2025-05-07,08:30,4.42,time_exit_2dte,-177.3
TSLA,bullish,2025-05-08,13:55,2025-05-16,8,275,270,5,P,-0.2815,1.28,1.38,0.05,1,288.405,0.0,0.6158,UP,CYCLICAL_LED,2025-05-09,09:05,0.71,tp,55.7
AAPL,bullish,2025-05-05,10:35,2025-05-16,11,195.0,192.5,2.5,P,-0.3376,0.66,0.76,0.05,2,198.9144,45.5,0.3121,UP,CYCLICAL_LED,2025-05-12,08:30,0.19,tp,91.4
AMZN,bullish,2025-05-09,14:35,2025-05-16,7,190.0,187.5,2.5,P,-0.3402,0.64,0.74,0.05,2,193.1091,0.0,0.3164,UP,CYCLICAL_LED,2025-05-12,08:30,0.11,tp,103.4
