strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_putspread_daily,SPY,bull_put,2025-03-04,10:05,2025-03-14,10,SP572 / LP562,put_short=-0.409,575.7,0.2195,3.47,,1,0.05,438,2025-03-13,09:30,8.3,time_exit_1dte,-484.3
spy_putspread_daily,SPY,bull_put,2025-03-06,10:00,2025-03-14,8,SP569 / LP559,put_short=-0.394,574.42,0.2846,2.55,,1,0.05,353,2025-03-13,09:30,6.87,time_exit_1dte,-433.3
spy_putspread_daily,SPY,bull_put,2025-03-07,10:00,2025-03-14,7,SP570 / LP560,put_short=-0.408,573.95,0.2608,2.81,,1,0.05,282,2025-03-13,09:30,7.82,time_exit_1dte,-502.3
spy_putspread_daily,SPY,bull_put,2025-03-10,10:00,2025-03-14,4,SP564 / LP554,put_short=-0.393,567.36,0.2368,3.31,,1,0.05,352,2025-03-13,09:30,5.42,time_exit_1dte,-212.3
spy_putspread_daily,SPY,bull_put,2025-03-11,10:00,2025-03-21,10,SP554 / LP544,put_short=-0.397,559.79,0.2958,3.3,,1,0.05,517,2025-03-17,09:35,1.74,tp,154.7
spy_putspread_daily,SPY,bull_put,2025-03-13,10:00,2025-03-21,8,SP550 / LP540,put_short=-0.396,555.03,0.2819,2.92,,1,0.05,217,2025-03-17,09:30,1.38,tp,152.7
spy_putspread_daily,SPY,bull_put,2025-03-12,10:00,2025-03-21,9,SP554 / LP544,put_short=-0.397,559.48,0.2936,3.11,,1,0.05,476,2025-03-17,09:40,1.63,tp,146.7
spy_putspread_daily,SPY,bull_put,2025-03-14,10:00,2025-03-21,7,SP554 / LP544,put_short=-0.396,558.44,0.2586,2.81,,1,0.05,381,2025-03-17,10:10,1.45,tp,134.7
spy_putspread_daily,SPY,bull_put,2025-03-17,10:00,2025-03-21,4,SP563 / LP553,put_short=-0.410,565.65,0.2301,3.04,,1,0.05,383,2025-03-19,15:05,1.35,tp,167.7
spy_putspread_daily,SPY,bull_put,2025-03-18,10:15,2025-03-28,10,SP556 / LP546,put_short=-0.393,560.77,0.2343,2.93,,1,0.05,303,2025-03-20,10:25,1.42,tp,149.7
spy_putspread_daily,SPY,bull_put,2025-03-19,10:05,2025-03-28,9,SP559 / LP549,put_short=-0.394,563.92,0.253,2.4,,1,0.05,370,2025-03-24,09:30,0.97,tp,141.7
spy_putspread_daily,SPY,bull_put,2025-03-20,10:00,2025-03-28,8,SP562 / LP552,put_short=-0.397,566.61,0.2557,2.38,,1,0.05,429,2025-03-24,09:35,1.19,tp,117.7
spy_putspread_daily,SPY,bull_put,2025-03-21,10:00,2025-03-28,7,SP556 / LP546,put_short=-0.399,559.84,0.234,2.65,,1,0.05,257,2025-03-24,09:30,0.7,tp,193.7
spy_putspread_daily,SPY,bull_put,2025-03-24,10:00,2025-03-28,4,SP570 / LP560,put_short=-0.401,572.74,0.211,2.17,,1,0.05,203,2025-03-26,09:35,1.065,tp,109.2
spy_putspread_daily,SPY,bull_put,2025-03-25,10:00,2025-04-04,10,SP571 / LP561,put_short=-0.396,574.66,0.1846,2.62,,1,0.05,312,2025-03-31,09:35,7.96,stop,-535.3
spy_putspread_daily,SPY,bull_put,2025-03-26,10:00,2025-04-04,9,SP571 / LP561,put_short=-0.411,573.63,0.1724,2.55,,1,0.05,294,2025-03-31,09:35,7.96,stop,-542.3
spy_putspread_daily,SPY,bull_put,2025-03-31,10:00,2025-04-04,4,SP547 / LP537,put_short=-0.401,549.74,0.2203,2.94,,1,0.05,338,2025-03-31,15:10,1.55,tp,137.7
spy_putspread_daily,SPY,bull_put,2025-03-27,10:00,2025-04-04,8,SP565 / LP555,put_short=-0.401,568.33,0.1968,2.67,,1,0.05,217,2025-04-03,09:30,8.265,time_exit_1dte,-560.8
spy_putspread_daily,SPY,bull_put,2025-03-28,10:00,2025-04-04,7,SP560 / LP550,put_short=-0.392,563.94,0.22,2.725,,1,0.05,186,2025-04-03,09:30,6.93,time_exit_1dte,-421.8
spy_putspread_daily,SPY,bull_put,2025-04-01,10:00,2025-04-11,10,SP552 / LP542,put_short=-0.401,557.22,0.2835,2.75,,1,0.05,177,2025-04-04,09:30,8.54,stop,-580.3
spy_putspread_daily,SPY,bull_put,2025-04-03,10:00,2025-04-11,8,SP539 / LP529,put_short=-0.397,544.92,0.3424,2.95,,1,0.05,218,2025-04-07,09:40,10.05,stop,-711.3
spy_putspread_daily,SPY,bull_put,2025-04-07,10:00,2025-04-11,4,SP491 / LP481,put_short=-0.394,495.69,0.3826,3.74,,1,0.05,308,2025-04-07,13:55,1.92,tp,180.7
spy_putspread_daily,SPY,bull_put,2025-04-09,10:00,2025-04-17,8,SP491 / LP481,put_short=-0.397,499.85,0.5886,2.74,,1,0.05,143,2025-04-09,13:30,0.38,tp,234.7
spy_putspread_daily,SPY,bull_put,2025-04-04,10:00,2025-04-11,7,SP519 / LP509,put_short=-0.397,523.18,0.2648,3.21,,1,0.05,325,2025-04-09,13:55,1.65,tp,154.7
spy_putspread_daily,SPY,bull_put,2025-04-08,10:00,2025-04-17,9,SP513 / LP503,put_short=-0.400,522.59,0.6111,2.25,,1,0.05,377,2025-04-09,14:50,0.85,tp,138.7
spy_putspread_daily,SPY,bull_put,2025-04-10,10:00,2025-04-17,7,SP521 / LP511,put_short=-0.400,529.0,0.5383,2.3,,1,0.05,365,2025-04-14,09:30,1.06,tp,122.7
spy_putspread_daily,SPY,bull_put,2025-04-11,10:00,2025-04-17,6,SP520 / LP510,put_short=-0.398,526.4,0.4386,2.99,,1,0.05,203,2025-04-14,09:30,1.07,tp,190.7
spy_putspread_daily,SPY,bull_put,2025-04-14,10:00,2025-04-17,3,SP536 / LP526,put_short=-0.393,540.47,0.3741,2.14,,1,0.05,303,2025-04-16,09:30,3.91,time_exit_1dte,-178.3
spy_putspread_daily,SPY,bull_put,2025-04-15,10:10,2025-04-25,10,SP536 / LP526,put_short=-0.399,541.48,0.2977,2.08,,1,0.05,319,2025-04-16,15:00,6.36,stop,-429.3
