strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_putspread_weekly_managed,SPY,bull_put,2025-03-10,10:00,2025-03-14,4,SP564 / LP554,put_short=-0.393,567.36,0.2368,3.31,,2,0.05,352,2025-03-13,09:30,5.42,time_exit_1dte,-424.6
spy_putspread_weekly_managed,SPY,bull_put,2025-03-17,10:00,2025-03-21,4,SP563 / LP553,put_short=-0.410,565.65,0.2301,3.04,,2,0.05,383,2025-03-19,15:05,1.35,tp,335.4
spy_putspread_weekly_managed,SPY,bull_put,2025-03-24,10:00,2025-03-28,4,SP570 / LP560,put_short=-0.401,572.74,0.211,2.17,,1,0.05,203,2025-03-26,09:35,1.065,tp,109.2
spy_putspread_weekly_managed,SPY,bull_put,2025-03-31,10:00,2025-04-04,4,SP547 / LP537,put_short=-0.401,549.74,0.2203,2.94,,2,0.05,338,2025-03-31,15:10,1.55,tp,275.4
spy_putspread_weekly_managed,SPY,bull_put,2025-04-07,10:00,2025-04-11,4,SP491 / LP481,put_short=-0.394,495.69,0.3826,3.74,,2,0.05,308,2025-04-07,13:55,1.92,tp,361.4
spy_putspread_weekly_managed,SPY,bull_put,2025-04-14,10:00,2025-04-17,3,SP536 / LP526,put_short=-0.393,540.47,0.3741,2.14,,1,0.05,303,2025-04-16,09:30,3.91,time_exit_1dte,-178.3
spy_putspread_weekly_managed,SPY,bull_put,2025-04-21,10:00,2025-04-25,4,SP514 / LP504,put_short=-0.393,517.56,0.2759,3.09,,2,0.05,265,2025-04-22,11:00,1.6,tp,295.4
spy_putspread_weekly_managed,SPY,bull_put,2025-04-28,10:00,2025-05-02,4,SP547 / LP537,put_short=-0.397,550.29,0.2504,2.28,,2,0.05,337,2025-05-01,09:30,0.86,time_exit_1dte,281.4
spy_putspread_weekly_managed,SPY,bull_put,2025-05-05,10:00,2025-05-09,4,SP560 / LP550,put_short=-0.398,562.99,0.2245,2.235,,2,0.05,155,2025-05-08,09:30,1.415,time_exit_1dte,161.4
spy_putspread_weekly_managed,SPY,bull_put,2025-05-12,10:00,2025-05-16,4,SP576 / LP566,put_short=-0.399,578.79,0.2085,2.07,,2,0.05,269,2025-05-13,09:30,1.06,tp,199.4
spy_putspread_weekly_managed,SPY,bull_put,2025-05-19,10:00,2025-05-23,4,SP589 / LP579,put_short=-0.400,591.24,0.1678,2.11,,2,0.05,368,2025-05-22,09:30,5.77,time_exit_1dte,-734.6
spy_putspread_weekly_managed,SPY,bull_put,2025-06-02,10:00,2025-06-06,4,SP584 / LP574,put_short=-0.385,586.85,0.1816,2.49,,2,0.05,254,2025-06-02,15:20,1.31,tp,233.4
spy_putspread_weekly_managed,SPY,bull_put,2025-06-09,10:00,2025-06-13,4,SP597 / LP587,put_short=-0.401,598.89,0.1431,2.21,,2,0.05,344,2025-06-10,15:00,1.17,tp,205.4
spy_putspread_weekly_managed,SPY,bull_put,2025-06-16,10:00,2025-06-20,4,SP600 / LP590,put_short=-0.384,603.05,0.1855,2.04,,1,0.05,124,2025-06-20,09:30,2.825,time_exit_1dte,-79.8
spy_putspread_weekly_managed,SPY,bull_put,2025-06-23,10:00,2025-06-27,4,SP594 / LP584,put_short=-0.392,596.65,0.1777,1.82,,1,0.05,235,2025-06-24,09:30,0.61,tp,119.7
spy_putspread_weekly_managed,SPY,bull_put,2025-06-30,10:00,2025-07-03,3,SP615 / LP605,put_short=-0.419,616.43,0.1511,1.875,,1,0.05,124,2025-07-02,09:30,1.385,time_exit_1dte,47.7
spy_putspread_weekly_managed,SPY,bull_put,2025-07-07,10:00,2025-07-11,4,SP621 / LP611,put_short=-0.382,623.65,0.1562,1.99,,1,0.05,345,2025-07-09,09:45,1.06,tp,91.7
spy_putspread_weekly_managed,SPY,bull_put,2025-07-14,10:00,2025-07-18,4,SP621 / LP611,put_short=-0.413,622.67,0.1425,1.98,,1,0.05,323,2025-07-15,09:30,0.95,tp,101.7
spy_putspread_weekly_managed,SPY,bull_put,2025-07-21,10:00,2025-07-25,4,SP628 / LP618,put_short=-0.387,630.57,0.156,1.4,,1,0.05,339,2025-07-23,13:40,0.77,tp,61.7
spy_putspread_weekly_managed,SPY,bull_put,2025-07-28,10:00,2025-08-01,4,SP635 / LP625,put_short=-0.384,637.45,0.1445,1.95,,1,0.05,155,2025-07-31,09:30,1.005,time_exit_1dte,93.2
spy_putspread_weekly_managed,SPY,bull_put,2025-08-04,10:00,2025-08-08,4,SP627 / LP617,put_short=-0.416,629.01,0.1728,1.99,,2,0.05,254,2025-08-06,11:15,1.08,tp,179.4
spy_putspread_weekly_managed,SPY,bull_put,2025-08-11,10:00,2025-08-15,4,SP636 / LP626,put_short=-0.408,637.69,0.1336,1.92,,2,0.05,288,2025-08-12,11:15,1.02,tp,177.4
spy_putspread_weekly_managed,SPY,bull_put,2025-08-18,10:00,2025-08-22,4,SP641 / LP631,put_short=-0.417,642.73,0.1508,1.74,,1,0.05,348,2025-08-20,10:05,5.32,stop,-359.3
spy_putspread_weekly_managed,SPY,bull_put,2025-08-25,10:00,2025-08-29,4,SP642 / LP632,put_short=-0.392,644.34,0.1482,1.83,,1,0.05,340,2025-08-28,09:30,0.43,time_exit_1dte,138.7
