strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_putspread_mwf,SPY,bull_put,2025-03-07,10:00,2025-03-14,7,SP570 / LP560,put_short=-0.408,573.95,0.2608,2.71,,1,0.1,282,2025-03-13,09:30,7.92,time_exit_1dte,-522.3
spy_putspread_mwf,SPY,bull_put,2025-03-10,10:00,2025-03-14,4,SP564 / LP554,put_short=-0.393,567.36,0.2368,3.21,,1,0.1,352,2025-03-13,09:30,5.52,time_exit_1dte,-232.3
qqq_putspread_mon,QQQ,bull_put,2025-03-10,10:00,2025-03-14,4,SP478 / LP470,put_short=-0.397,481.25,0.2807,2.86,,1,0.1,182,2025-03-13,09:30,3.12,time_exit_1dte,-27.3
spy_putspread_mwf,SPY,bull_put,2025-03-12,10:00,2025-03-21,9,SP554 / LP544,put_short=-0.397,559.48,0.2936,3.01,,1,0.1,476,2025-03-17,10:10,1.55,tp,144.7
spy_putspread_mwf,SPY,bull_put,2025-03-14,10:00,2025-03-21,7,SP554 / LP544,put_short=-0.396,558.44,0.2586,2.71,,1,0.1,381,2025-03-17,10:10,1.55,tp,114.7
spy_putspread_mwf,SPY,bull_put,2025-03-17,10:00,2025-03-21,4,SP563 / LP553,put_short=-0.410,565.65,0.2301,2.94,,1,0.1,383,2025-03-19,15:05,1.45,tp,147.7
qqq_putspread_mon,QQQ,bull_put,2025-03-17,10:00,2025-03-21,4,SP479 / LP471,put_short=-0.407,481.7,0.263,2.32,,1,0.1,352,2025-03-20,09:30,2.87,time_exit_1dte,-56.3
spy_putspread_mwf,SPY,bull_put,2025-03-19,10:05,2025-03-28,9,SP559 / LP549,put_short=-0.394,563.92,0.253,2.3,,1,0.1,370,2025-03-24,09:30,1.07,tp,121.7
spy_putspread_mwf,SPY,bull_put,2025-03-21,10:00,2025-03-28,7,SP556 / LP546,put_short=-0.399,559.84,0.234,2.55,,1,0.1,257,2025-03-24,09:30,0.8,tp,173.7
spy_putspread_mwf,SPY,bull_put,2025-03-24,10:00,2025-03-28,4,SP570 / LP560,put_short=-0.401,572.74,0.211,2.07,,1,0.1,203,2025-03-26,09:35,1.165,tp,89.2
qqq_putspread_mon,QQQ,bull_put,2025-03-24,10:00,2025-03-28,4,SP487 / LP479,put_short=-0.410,489.18,0.2191,2.02,,1,0.1,293,2025-03-27,09:30,4.28,time_exit_1dte,-227.3
spy_putspread_mwf,SPY,bull_put,2025-03-26,10:00,2025-04-04,9,SP571 / LP561,put_short=-0.411,573.63,0.1724,2.45,,1,0.1,294,2025-03-31,09:35,8.06,stop,-562.3
spy_putspread_mwf,SPY,bull_put,2025-03-28,10:00,2025-04-04,7,SP560 / LP550,put_short=-0.392,563.94,0.22,2.625,,1,0.1,186,2025-04-03,09:30,7.03,time_exit_1dte,-441.8
