strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_0dte_putspread,SPY,bull_put,2025-03-04,10:00,2025-03-04,0,SP572 / LP569,put_short=-0.129,575.7,0.2195,0.53,,2,0.05,74,2025-03-04,15:50,0.1,eod_flatten,83.4
spy_0dte_putspread,SPY,bull_put,2025-03-05,10:00,2025-03-05,0,SP572 / LP569,put_short=-0.145,575.81,0.2418,0.32,,1,0.05,76,2025-03-05,15:50,0.1,eod_flatten,20.7
spy_0dte_putspread,SPY,bull_put,2025-03-06,10:00,2025-03-06,0,SP569 / LP566,put_short=-0.100,574.42,0.2846,0.23,,1,0.05,79,2025-03-06,15:50,0.15,eod_flatten,6.7
spy_0dte_putspread,SPY,bull_put,2025-03-07,10:00,2025-03-07,0,SP569 / LP566,put_short=-0.101,573.95,0.2608,0.35,,1,0.05,79,2025-03-07,15:50,0.1,eod_flatten,23.7
spy_0dte_putspread,SPY,bull_put,2025-03-10,10:00,2025-03-10,0,SP563 / LP560,put_short=-0.105,567.36,0.2368,0.71,,2,0.05,79,2025-03-10,15:50,2.52,eod_flatten,-364.6
spy_0dte_putspread,SPY,bull_put,2025-03-11,10:00,2025-03-11,0,SP555 / LP552,put_short=-0.132,559.79,0.2958,0.62,,2,0.05,79,2025-03-11,15:50,0.15,eod_flatten,91.4
spy_0dte_putspread,SPY,bull_put,2025-03-12,10:00,2025-03-12,0,SP554 / LP551,put_short=-0.099,559.48,0.2936,0.4,,1,0.05,79,2025-03-12,15:50,0.1,eod_flatten,28.7
spy_0dte_putspread,SPY,bull_put,2025-03-13,10:00,2025-03-13,0,SP550 / LP547,put_short=-0.107,555.03,0.2819,0.27,,1,0.05,79,2025-03-13,15:50,0.34,eod_flatten,-8.3
spy_0dte_putspread,SPY,bull_put,2025-03-14,10:00,2025-03-14,0,SP554 / LP551,put_short=-0.118,558.44,0.2586,0.45,,1,0.05,79,2025-03-14,15:50,0.1,eod_flatten,33.7
spy_0dte_putspread,SPY,bull_put,2025-03-17,10:00,2025-03-17,0,SP562 / LP559,put_short=-0.139,565.65,0.2301,0.42,,1,0.05,75,2025-03-17,15:55,0.1,eod_flatten,30.7
spy_0dte_putspread,SPY,bull_put,2025-03-18,10:00,2025-03-18,0,SP557 / LP554,put_short=-0.134,560.77,0.2343,0.33,,1,0.05,78,2025-03-18,15:50,0.1,eod_flatten,21.7
spy_0dte_putspread,SPY,bull_put,2025-03-19,10:00,2025-03-19,0,SP560 / LP557,put_short=-0.144,563.92,0.253,0.4,,1,0.05,77,2025-03-19,15:50,0.1,eod_flatten,28.7
spy_0dte_putspread,SPY,bull_put,2025-03-20,10:00,2025-03-20,0,SP562 / LP559,put_short=-0.110,566.61,0.2557,0.12,,1,0.05,79,2025-03-20,15:50,0.11,eod_flatten,-0.3
spy_0dte_putspread,SPY,bull_put,2025-03-21,10:00,2025-03-21,0,SP556 / LP553,put_short=-0.129,559.84,0.234,0.46,,1,0.05,79,2025-03-21,15:50,0.1,eod_flatten,34.7
spy_0dte_putspread,SPY,bull_put,2025-03-24,10:00,2025-03-24,0,SP569 / LP566,put_short=-0.116,572.74,0.211,0.17,,1,0.05,76,2025-03-24,15:50,0.1,eod_flatten,5.7
spy_0dte_putspread,SPY,bull_put,2025-03-25,10:00,2025-03-25,0,SP571 / LP568,put_short=-0.092,574.66,0.1846,0.15,,1,0.05,78,2025-03-25,15:50,0.1,eod_flatten,3.7
spy_0dte_putspread,SPY,bull_put,2025-03-26,10:00,2025-03-26,0,SP571 / LP568,put_short=-0.152,573.63,0.1724,0.24,,1,0.05,79,2025-03-26,15:50,1.97,eod_flatten,-174.3
spy_0dte_putspread,SPY,bull_put,2025-03-27,10:00,2025-03-27,0,SP565 / LP562,put_short=-0.125,568.33,0.1968,0.31,,1,0.05,78,2025-03-27,15:50,0.1,eod_flatten,19.7
spy_0dte_putspread,SPY,bull_put,2025-03-28,10:00,2025-03-28,0,SP560 / LP557,put_short=-0.110,563.94,0.22,0.34,,1,0.05,79,2025-03-28,15:50,2.5,eod_flatten,-217.3
spy_0dte_putspread,SPY,bull_put,2025-03-31,10:00,2025-03-31,0,SP546 / LP543,put_short=-0.117,549.74,0.2203,0.39,,1,0.05,76,2025-03-31,15:50,0.1,eod_flatten,27.7
spy_0dte_putspread,SPY,bull_put,2025-04-01,10:00,2025-04-01,0,SP552 / LP549,put_short=-0.101,557.22,0.2835,0.33,,1,0.05,77,2025-04-01,15:55,0.1,eod_flatten,21.7
spy_0dte_putspread,SPY,bull_put,2025-04-02,10:00,2025-04-02,0,SP554 / LP551,put_short=-0.128,558.73,0.2879,0.31,,1,0.05,79,2025-04-02,15:50,0.12,eod_flatten,17.7
spy_0dte_putspread,SPY,bull_put,2025-04-03,10:00,2025-04-03,0,SP539 / LP536,put_short=-0.110,544.92,0.3424,0.58,,2,0.05,79,2025-04-03,15:50,1.06,eod_flatten,-98.6
spy_0dte_putspread,SPY,bull_put,2025-04-04,10:00,2025-04-04,0,SP519 / LP516,put_short=-0.122,523.18,0.2648,0.81,,2,0.05,79,2025-04-04,15:50,2.19,eod_flatten,-278.6
spy_0dte_putspread,SPY,bull_put,2025-04-07,10:00,2025-04-07,0,SP490 / LP487,put_short=-0.123,495.69,0.3826,1.2,,2,0.05,31,2025-04-07,12:00,0.895,eod_flatten_lastbar,58.4
spy_0dte_putspread,SPY,bull_put,2025-04-08,10:00,2025-04-08,0,SP513 / LP510,put_short=-0.121,522.59,0.6111,0.385,,1,0.05,31,2025-04-08,12:00,0.895,eod_flatten_lastbar,-52.3
spy_0dte_putspread,SPY,bull_put,2025-04-09,10:00,2025-04-09,0,SP491 / LP488,put_short=-0.121,499.85,0.5886,0.5,,1,0.05,77,2025-04-09,16:00,0.1,eod_flatten,38.7
spy_0dte_putspread,SPY,bull_put,2025-04-10,10:00,2025-04-10,0,SP520 / LP517,put_short=-0.110,529.0,0.5383,0.505,,2,0.05,31,2025-04-10,12:00,1.585,eod_flatten_lastbar,-218.6
spy_0dte_putspread,SPY,bull_put,2025-04-11,10:00,2025-04-11,0,SP519 / LP516,put_short=-0.107,526.4,0.4386,0.72,,2,0.05,78,2025-04-11,15:50,0.1,eod_flatten,121.4
spy_0dte_putspread,SPY,bull_put,2025-04-14,10:00,2025-04-14,0,SP534 / LP531,put_short=-0.108,540.47,0.3741,0.2,,1,0.05,79,2025-04-14,15:50,0.1,eod_flatten,8.7
spy_0dte_putspread,SPY,bull_put,2025-04-15,10:00,2025-04-15,0,SP537 / LP534,put_short=-0.141,541.48,0.2977,0.32,,1,0.05,79,2025-04-15,15:50,0.25,eod_flatten,5.7
spy_0dte_putspread,SPY,bull_put,2025-04-16,10:00,2025-04-16,0,SP525 / LP522,put_short=-0.109,529.92,0.2916,0.375,,1,0.05,31,2025-04-16,12:00,0.355,eod_flatten_lastbar,0.7
spy_0dte_putspread,SPY,bull_put,2025-04-17,10:00,2025-04-17,0,SP524 / LP521,put_short=-0.123,528.74,0.2982,0.36,,1,0.05,79,2025-04-17,15:50,0.14,eod_flatten,20.7
spy_0dte_putspread,SPY,bull_put,2025-04-21,10:00,2025-04-21,0,SP513 / LP510,put_short=-0.109,517.56,0.2759,0.55,,2,0.05,79,2025-04-21,15:50,0.49,eod_flatten,9.4
spy_0dte_putspread,SPY,bull_put,2025-04-22,10:00,2025-04-22,0,SP517 / LP514,put_short=-0.134,521.89,0.3269,0.29,,1,0.05,79,2025-04-22,15:50,0.1,eod_flatten,17.7
spy_0dte_putspread,SPY,bull_put,2025-04-23,10:00,2025-04-23,0,SP538 / LP535,put_short=-0.097,543.56,0.3042,0.325,,1,0.05,31,2025-04-23,12:00,1.495,eod_flatten_lastbar,-118.3
spy_0dte_putspread,SPY,bull_put,2025-04-24,10:00,2025-04-24,0,SP534 / LP531,put_short=-0.107,539.48,0.3155,0.42,,1,0.05,79,2025-04-24,15:50,0.12,eod_flatten,28.7
spy_0dte_putspread,SPY,bull_put,2025-04-25,10:00,2025-04-25,0,SP540 / LP537,put_short=-0.107,544.88,0.2787,0.37,,1,0.05,78,2025-04-25,15:50,0.1,eod_flatten,25.7
spy_0dte_putspread,SPY,bull_put,2025-04-28,10:00,2025-04-28,0,SP546 / LP543,put_short=-0.115,550.29,0.2504,0.17,,1,0.05,79,2025-04-28,15:50,0.1,eod_flatten,5.7
spy_0dte_putspread,SPY,bull_put,2025-04-29,10:00,2025-04-29,0,SP546 / LP543,put_short=-0.095,550.62,0.2473,0.17,,1,0.05,79,2025-04-29,15:50,0.1,eod_flatten,5.7
