strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_0dte_putspread,SPY,bull_put,2025-03-04,10:00,2025-03-04,0,SP572 / LP569,put_short=-0.129,575.7,0.2195,0.43,,1,0.1,74,2025-03-04,15:50,0.2,eod_flatten,21.7
spy_0dte_putspread,SPY,bull_put,2025-03-05,10:00,2025-03-05,0,SP572 / LP569,put_short=-0.145,575.81,0.2418,0.22,,1,0.1,76,2025-03-05,15:50,0.2,eod_flatten,0.7
spy_0dte_putspread,SPY,bull_put,2025-03-06,10:00,2025-03-06,0,SP569 / LP566,put_short=-0.100,574.42,0.2846,0.13,,1,0.1,79,2025-03-06,15:50,0.25,eod_flatten,-13.3
spy_0dte_putspread,SPY,bull_put,2025-03-07,10:00,2025-03-07,0,SP569 / LP566,put_short=-0.101,573.95,0.2608,0.25,,1,0.1,79,2025-03-07,15:50,0.2,eod_flatten,3.7
spy_0dte_putspread,SPY,bull_put,2025-03-10,10:00,2025-03-10,0,SP563 / LP560,put_short=-0.105,567.36,0.2368,0.61,,2,0.1,79,2025-03-10,15:50,2.62,eod_flatten,-404.6
spy_0dte_putspread,SPY,bull_put,2025-03-11,10:00,2025-03-11,0,SP555 / LP552,put_short=-0.132,559.79,0.2958,0.52,,2,0.1,79,2025-03-11,15:50,0.25,eod_flatten,51.4
spy_0dte_putspread,SPY,bull_put,2025-03-12,10:00,2025-03-12,0,SP554 / LP551,put_short=-0.099,559.48,0.2936,0.3,,1,0.1,79,2025-03-12,15:50,0.2,eod_flatten,8.7
spy_0dte_putspread,SPY,bull_put,2025-03-13,10:00,2025-03-13,0,SP550 / LP547,put_short=-0.107,555.03,0.2819,0.17,,1,0.1,79,2025-03-13,15:50,0.44,eod_flatten,-28.3
spy_0dte_putspread,SPY,bull_put,2025-03-14,10:00,2025-03-14,0,SP554 / LP551,put_short=-0.118,558.44,0.2586,0.35,,1,0.1,79,2025-03-14,15:50,0.2,eod_flatten,13.7
spy_0dte_putspread,SPY,bull_put,2025-03-17,10:00,2025-03-17,0,SP562 / LP559,put_short=-0.139,565.65,0.2301,0.32,,1,0.1,75,2025-03-17,15:55,0.2,eod_flatten,10.7
spy_0dte_putspread,SPY,bull_put,2025-03-18,10:00,2025-03-18,0,SP557 / LP554,put_short=-0.134,560.77,0.2343,0.23,,1,0.1,78,2025-03-18,15:50,0.2,eod_flatten,1.7
spy_0dte_putspread,SPY,bull_put,2025-03-19,10:00,2025-03-19,0,SP560 / LP557,put_short=-0.144,563.92,0.253,0.3,,1,0.1,77,2025-03-19,15:50,0.2,eod_flatten,8.7
spy_0dte_putspread,SPY,bull_put,2025-03-20,10:00,2025-03-20,0,SP562 / LP559,put_short=-0.110,566.61,0.2557,0.02,,1,0.1,79,2025-03-20,15:50,0.21,eod_flatten,-20.3
