strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_0dte_putspread,SPY,bull_put,2025-03-04,10:00,2025-03-04,0,SP572 / LP569,put_short=-0.129,575.7,0.2195,0.614,,2,0.007875000000000002,74,2025-03-04,15:50,0.016,eod_flatten,117.1
spy_0dte_putspread,SPY,bull_put,2025-03-05,10:00,2025-03-05,0,SP572 / LP569,put_short=-0.145,575.81,0.2418,0.409,,1,0.0052499999999999995,76,2025-03-05,15:50,0.01,eod_flatten,38.6
spy_0dte_putspread,SPY,bull_put,2025-03-06,10:00,2025-03-06,0,SP569 / LP566,put_short=-0.100,574.42,0.2846,0.322,,1,0.004125,79,2025-03-06,15:50,0.058,eod_flatten,25.05
spy_0dte_putspread,SPY,bull_put,2025-03-07,10:00,2025-03-07,0,SP569 / LP566,put_short=-0.101,573.95,0.2608,0.439,,1,0.0056250000000000015,79,2025-03-07,15:50,0.011,eod_flatten,41.45
spy_0dte_putspread,SPY,bull_put,2025-03-10,10:00,2025-03-10,0,SP563 / LP560,put_short=-0.105,567.36,0.2368,0.79,,2,0.010125,79,2025-03-10,15:50,2.44,eod_flatten,-332.7
spy_0dte_putspread,SPY,bull_put,2025-03-11,10:00,2025-03-11,0,SP555 / LP552,put_short=-0.132,559.79,0.2958,0.702,,2,0.009000000000000003,79,2025-03-11,15:50,0.068,eod_flatten,124.2
spy_0dte_putspread,SPY,bull_put,2025-03-12,10:00,2025-03-12,0,SP554 / LP551,put_short=-0.099,559.48,0.2936,0.488,,1,0.006250000000000002,79,2025-03-12,15:50,0.013,eod_flatten,46.2
spy_0dte_putspread,SPY,bull_put,2025-03-13,10:00,2025-03-13,0,SP550 / LP547,put_short=-0.107,555.03,0.2819,0.361,,1,0.004625,79,2025-03-13,15:50,0.249,eod_flatten,9.85
spy_0dte_putspread,SPY,bull_put,2025-03-14,10:00,2025-03-14,0,SP554 / LP551,put_short=-0.118,558.44,0.2586,0.536,,2,0.006874999999999999,79,2025-03-14,15:50,0.014,eod_flatten,101.9
spy_0dte_putspread,SPY,bull_put,2025-03-17,10:00,2025-03-17,0,SP562 / LP559,put_short=-0.139,565.65,0.2301,0.507,,2,0.006500000000000001,75,2025-03-17,15:55,0.013,eod_flatten,96.2
spy_0dte_putspread,SPY,bull_put,2025-03-18,10:00,2025-03-18,0,SP557 / LP554,put_short=-0.134,560.77,0.2343,0.419,,1,0.005375000000000001,78,2025-03-18,15:50,0.011,eod_flatten,39.55
spy_0dte_putspread,SPY,bull_put,2025-03-19,10:00,2025-03-19,0,SP560 / LP557,put_short=-0.144,563.92,0.253,0.487,,1,0.0062499999999999995,77,2025-03-19,15:50,0.012,eod_flatten,46.2
spy_0dte_putspread,SPY,bull_put,2025-03-20,10:00,2025-03-20,0,SP562 / LP559,put_short=-0.110,566.61,0.2557,0.214,,1,0.0027500000000000003,79,2025-03-20,15:50,0.015,eod_flatten,18.6
spy_0dte_putspread,SPY,bull_put,2025-03-21,10:00,2025-03-21,0,SP556 / LP553,put_short=-0.129,559.84,0.234,0.546,,2,0.007000000000000001,79,2025-03-21,15:50,0.014,eod_flatten,103.8
