strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
qqq_0dte_putspread,QQQ,bull_put,2025-03-04,10:00,2025-03-04,0,SP487 / LP484,put_short=-0.093,491.56,0.2703,0.33,,1,0.1,74,2025-03-04,15:55,0.2,eod_flatten,11.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-05,10:00,2025-03-05,0,SP489 / LP486,put_short=-0.110,493.77,0.3048,0.18,,1,0.1,73,2025-03-05,15:50,0.2,eod_flatten,-3.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-06,10:00,2025-03-06,0,SP488 / LP485,put_short=-0.102,493,0.3082,0.21,,1,0.1,79,2025-03-06,15:50,1.07,eod_flatten,-87.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-07,10:00,2025-03-07,0,SP485 / LP482,put_short=-0.110,489.75,0.3055,0.21,,1,0.1,78,2025-03-07,15:50,0.2,eod_flatten,-0.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-10,10:00,2025-03-10,0,SP477 / LP474,put_short=-0.112,481.25,0.2807,0.8,,2,0.1,79,2025-03-10,15:50,3.14,eod_flatten,-470.6
qqq_0dte_putspread,QQQ,bull_put,2025-03-11,10:00,2025-03-11,0,SP470 / LP467,put_short=-0.128,474.82,0.3461,0.275,,1,0.1,31,2025-03-11,12:00,0.935,eod_flatten_lastbar,-67.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-12,10:00,2025-03-12,0,SP473 / LP470,put_short=-0.139,477.86,0.3631,0.4,,1,0.1,79,2025-03-12,15:50,0.21,eod_flatten,17.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-13,10:00,2025-03-13,0,SP467 / LP464,put_short=-0.137,471.22,0.3162,0.37,,1,0.1,79,2025-03-13,15:50,0.58,eod_flatten,-22.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-14,10:00,2025-03-14,0,SP471 / LP468,put_short=-0.099,475.74,0.2984,0.24,,1,0.1,77,2025-03-14,15:50,0.2,eod_flatten,2.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-17,10:00,2025-03-17,0,SP478 / LP475,put_short=-0.130,481.7,0.263,0.43,,1,0.1,78,2025-03-17,15:50,0.2,eod_flatten,21.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-18,10:00,2025-03-18,0,SP470 / LP467,put_short=-0.112,474.02,0.2698,0.29,,1,0.1,77,2025-03-18,15:50,0.2,eod_flatten,7.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-19,10:00,2025-03-19,0,SP474 / LP471,put_short=-0.146,477.62,0.2785,0.33,,1,0.1,78,2025-03-19,15:50,0.2,eod_flatten,11.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-20,10:00,2025-03-20,0,SP477 / LP474,put_short=-0.142,480.42,0.2565,0.11,,1,0.1,79,2025-03-20,15:50,0.26,eod_flatten,-16.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-21,10:00,2025-03-21,0,SP471 / LP468,put_short=-0.094,475.52,0.2783,0.23,,1,0.1,75,2025-03-21,15:50,0.2,eod_flatten,1.7
qqq_0dte_putspread,QQQ,bull_put,2025-03-24,10:00,2025-03-24,0,SP486 / LP483,put_short=-0.126,489.18,0.2191,0.13,,1,0.1,76,2025-03-24,15:50,0.2,eod_flatten,-8.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-25,10:00,2025-03-25,0,SP488 / LP485,put_short=-0.103,491.59,0.2234,0.15,,1,0.1,74,2025-03-25,15:50,0.2,eod_flatten,-6.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-26,10:00,2025-03-26,0,SP486 / LP483,put_short=-0.112,489.35,0.2171,0.1,,1,0.1,79,2025-03-26,15:50,1.55,eod_flatten,-146.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-27,10:00,2025-03-27,0,SP480 / LP477,put_short=-0.101,483.59,0.225,0.275,,1,0.1,31,2025-03-27,12:00,0.465,eod_flatten_lastbar,-20.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-28,10:00,2025-03-28,0,SP475 / LP472,put_short=-0.119,478.45,0.2366,0.36,,1,0.1,79,2025-03-28,15:50,2.96,eod_flatten,-261.3
qqq_0dte_putspread,QQQ,bull_put,2025-03-31,10:00,2025-03-31,0,SP457 / LP454,put_short=-0.151,460.02,0.2453,0.34,,1,0.1,77,2025-03-31,15:50,0.2,eod_flatten,12.7
qqq_0dte_putspread,QQQ,bull_put,2025-04-01,10:00,2025-04-01,0,SP464 / LP461,put_short=-0.137,467.69,0.2782,0.43,,1,0.1,77,2025-04-01,15:50,0.2,eod_flatten,21.7
qqq_0dte_putspread,QQQ,bull_put,2025-04-02,10:00,2025-04-02,0,SP467 / LP464,put_short=-0.120,470.97,0.2769,0.28,,1,0.1,79,2025-04-02,15:50,0.24,eod_flatten,2.7
qqq_0dte_putspread,QQQ,bull_put,2025-04-03,10:00,2025-04-03,0,SP454 / LP451,put_short=-0.110,458.07,0.2797,0.7,,2,0.1,79,2025-04-03,15:50,2.6,eod_flatten,-382.6
qqq_0dte_putspread,QQQ,bull_put,2025-04-04,10:00,2025-04-04,0,SP435 / LP432,put_short=-0.108,439.09,0.2915,0.73,,2,0.1,79,2025-04-04,15:50,2.61,eod_flatten,-378.6
qqq_0dte_putspread,QQQ,bull_put,2025-04-07,10:00,2025-04-07,0,SP412 / LP409,put_short=-0.141,416.89,0.4227,0.68,,2,0.1,79,2025-04-07,15:50,0.21,eod_flatten,91.4
