,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-02-03,228.00999450683594,237.4199981689453,201.22999572753906,223.8300018310547,697.4600219726562,410.9200134277344,116.66000366210938,518.1099853515625,597.77001953125,383.67999267578125
2025-02-04,232.8000030517578,242.05999755859375,206.3800048828125,226.92999267578125,704.1900024414062,412.3699951171875,118.6500015258789,524.469970703125,601.780029296875,392.2099914550781
2025-02-05,232.47000122070312,236.1699981689453,191.3300018310547,229.39999389648438,704.8699951171875,413.2900085449219,124.83000183105469,526.8499755859375,604.219970703125,378.1700134277344
2025-02-06,233.22000122070312,238.8300018310547,191.60000610351562,228.64999389648438,711.989990234375,415.82000732421875,128.67999267578125,529.5999755859375,606.3200073242188,374.32000732421875
2025-02-07,227.6300048828125,229.14999389648438,185.33999633789062,226.0,714.52001953125,409.75,129.83999633789062,522.9199829101562,600.77001953125,361.6199951171875
2025-02-10,227.64999389648438,233.13999938964844,186.47000122070312,227.02000427246094,717.4000244140625,412.2200012207031,133.57000732421875,529.25,604.8499755859375,350.7300109863281
2025-02-11,232.6199951171875,232.75999450683594,185.32000732421875,225.6999969482422,719.7999877929688,411.44000244140625,132.8000030517578,527.989990234375,605.3099975585938,328.5
2025-02-12,236.8699951171875,228.92999267578125,183.61000061035156,223.6199951171875,725.3800048828125,409.0400085449219,131.13999938964844,528.2999877929688,603.3599853515625,336.510009765625
2025-02-13,241.52999877929688,230.3699951171875,186.13999938964844,226.13999938964844,728.5599975585938,410.5400085449219,135.2899932861328,535.9000244140625,609.72998046875,355.94000244140625
2025-02-14,244.60000610351562,228.67999267578125,185.22999572753906,225.97000122070312,736.6699829101562,408.42999267578125,138.85000610351562,538.1500244140625,609.7000122070312,355.8399963378906
2025-02-18,244.47000122070312,226.64999389648438,183.77000427246094,227.2100067138672,716.3699951171875,409.6400146484375,139.39999389648438,539.3699951171875,611.489990234375,354.1099853515625
2025-02-19,244.8699951171875,226.6300048828125,185.27000427246094,226.42999267578125,703.77001953125,414.7699890136719,139.22999572753906,539.52001953125,612.9299926757812,360.55999755859375
2025-02-20,245.8300018310547,222.8800048828125,184.55999755859375,224.25999450683594,694.8400268554688,416.1300048828125,140.11000061035156,537.22998046875,610.3800048828125,354.3999938964844
2025-02-21,245.5500030517578,216.5800018310547,179.66000366210938,217.8000030517578,683.5499877929688,408.2099914550781,134.42999267578125,526.0800170898438,599.9400024414062,337.79998779296875
2025-02-24,247.10000610351562,212.7100067138672,179.25,216.22999572753906,668.1300048828125,404.0,130.27999877929688,519.8699951171875,597.2100219726562,330.5299987792969
2025-02-25,247.0399932861328,212.8000030517578,175.4199981689453,215.41000366210938,657.5,397.8999938964844,126.62999725341797,513.3200073242188,594.239990234375,302.79998779296875
2025-02-26,240.36000061035156,214.35000610351562,172.72999572753906,215.67999267578125,673.7000122070312,399.7300109863281,131.27999877929688,514.5599975585938,594.5399780273438,290.79998779296875
2025-02-27,237.3000030517578,208.74000549316406,168.5,212.38999938964844,658.239990234375,392.5299987792969,120.1500015258789,500.2699890136719,585.0499877929688,281.95001220703125
2025-02-28,241.83999633789062,212.27999877929688,170.27999877929688,214.64999389648438,668.2000122070312,396.989990234375,124.91999816894531,508.1700134277344,594.1799926757812,292.9800109863281
2025-03-03,238.02999877929688,205.02000427246094,167.00999450683594,208.77999877929688,655.0499877929688,388.489990234375,114.05999755859375,497.04998779296875,583.77001953125,284.6499938964844
2025-03-04,235.92999267578125,203.8000030517578,170.9199981689453,206.4199981689453,640.0,388.6099853515625,115.98999786376953,495.54998779296875,576.8599853515625,272.0400085449219
